cell_id	dataset_id	donor_id	sex	disease	total_counts_cell	Agtr1a_counts	Agtr1a_lognorm	Agtr1a_scvi_corrected	Agtr1b_counts	Agtr1b_lognorm	Agtr1b_scvi_corrected	Agtr2_counts	Agtr2_lognorm	Agtr2_scvi_corrected
59172	48b37086-25f7-4ecd-be66-f5bb378e3aea	1-M-62	male	normal	338.0	0.0	0.0	3.4695165	0.0	0.0	0.0013501928	0.0	0.0	0.005148278
59182	48b37086-25f7-4ecd-be66-f5bb378e3aea	1-M-62	male	normal	317.0	7.0	3.1719272	3.313858	0.0	0.0	0.006673336	0.0	0.0	0.022611318
59250	48b37086-25f7-4ecd-be66-f5bb378e3aea	1-M-62	male	normal	221.0	1.0	1.6014856	3.4808106	0.0	0.0	0.0017935374	0.0	0.0	0.0067238263
58098	48b37086-25f7-4ecd-be66-f5bb378e3aea	18-F-50	female	normal	289.0	0.0	0.0	3.5036223	0.0	0.0	0.0019370028	0.0	0.0	0.00740339
58194	48b37086-25f7-4ecd-be66-f5bb378e3aea	18-F-51	female	normal	291.0	3.0	2.488704	3.8916447	0.0	0.0	0.000698451	0.0	0.0	0.012846458
58239	48b37086-25f7-4ecd-be66-f5bb378e3aea	18-M-52	male	normal	632.0	2.0	1.8406801	3.8765075	0.0	0.0	0.002354154	0.0	0.0	0.008659626
58353	48b37086-25f7-4ecd-be66-f5bb378e3aea	18-M-52	male	normal	579.0	1.0	1.3703829	3.25696	0.0	0.0	0.001049864	0.0	0.0	0.0072708684
58356	48b37086-25f7-4ecd-be66-f5bb378e3aea	18-M-52	male	normal	395.0	2.0	1.7577918	3.6885822	0.0	0.0	0.0075438134	0.0	0.0	0.010004885
59337	48b37086-25f7-4ecd-be66-f5bb378e3aea	3-F-56	female	normal	373.0	0.0	0.0	3.2918534	0.0	0.0	0.004275857	0.0	0.0	0.008034969
59358	48b37086-25f7-4ecd-be66-f5bb378e3aea	3-F-57	female	normal	243.0	2.0	2.2137494	3.9736252	0.0	0.0	0.013593971	0.0	0.0	0.064897045
59417	48b37086-25f7-4ecd-be66-f5bb378e3aea	3-F-57	female	normal	316.0	2.0	1.9516752	3.2290642	0.0	0.0	0.004056695	0.0	0.0	0.008124984
59423	48b37086-25f7-4ecd-be66-f5bb378e3aea	3-F-57	female	normal	329.0	2.0	1.7921762	3.6604059	0.0	0.0	0.0018111578	0.0	0.0	0.024265694
