_clu	vascular_stabilizing_relenrich	inflammatory_relenrich	synthetic_contractile_relenrich	activated_migratory_relenrich	fibroblast_like_relenrich	basement_membrane_relenrich	assigned	n_mural
0	-0.8253968720524029	0.7605267543794524	-0.7300834135024004	1.4316837397891409	1.4306673995542318	-0.18926975014544786	activated_migratory	3
1	-1.9403784148648753	-0.31658764761631863	-2.576461211234051	-3.0591948185088254	-2.1958424002275523	-0.8114934521320916	inflammatory	5
2	-2.2914256716628345	-1.6451539550739898	-3.016763025618847	-3.0050830333329057	-3.256605327720473	-1.1040125327572463	basement_membrane	1
3	-2.2698261142494216	0.515996824070669	-1.9018187649609992	-2.550061026801104	-1.8670860864397218	2.6979214585982794	basement_membrane	8
4	-2.008856294760057	0.535645759583197	-2.7774496187427182	-3.1764683333136765	-2.127126132990068	-1.3846711042702942	inflammatory	1
5	-0.4736466583617965	0.425264791675343	-0.8655333349492227	0.050563403692782505	-0.3832163847378274	-1.5659054890310395	inflammatory	2
7	-1.8498807324270246	-0.20714428759568532	-2.2776656563541264	-2.541618666511673	-2.73846687361534	-1.374320241518887	inflammatory	5
8	-0.45721408452066403	1.4239297632510426	-1.1860814360201755	0.6592458977177961	0.3713407943451505	-1.0219831631223855	inflammatory	4
9	-0.7738375410471763	2.7469225477973622	-0.4387775652599369	1.5632570969325146	-0.07213919998573451	-0.0812920459269506	inflammatory	3
10	-1.049979728792428	0.12071761541934924	-2.3549043352553234	-1.4105090032226348	-2.183804916684797	-0.9760833071968876	inflammatory	2
11	-0.1679926614213339	-0.6550409743022927	-0.10688386385788962	-0.25517293983707995	0.0371023395149816	0.7963629733088498	basement_membrane	2
12	-0.6039374748404815	-1.0661551457991112	0.5830185213375486	0.5556242785715021	0.5017326740744961	-0.09434632609529367	synthetic_contractile	20
13	-0.17926978788988654	-0.11136796959655394	0.5638712399648895	0.31966259327252805	-0.008011568288358705	-0.1179615826577662	synthetic_contractile	1746
14	-0.1935520942084829	-1.202371893973848	-2.0783903271634694	-2.08414522297426	-0.15832712692643736	2.0331413861530403	basement_membrane	2
15	1.3153674885239348	-0.08328589039310379	-0.7160972833692449	-0.13131267034882554	0.40871884572422057	0.5448712717439517	vascular_stabilizing	503
16	-2.1289995252600122	0.7693696552523464	-2.2825840263720028	-2.7127090929519215	-2.1912007059801266	-0.8823001566348803	inflammatory	190
18	0.5869893615213667	0.35758285890766406	-0.5900109529153424	0.31571667145670734	1.1565948822840921	0.4559492189587881	fibroblast_like	227
19	-0.5875663815005238	0.7336777343476037	-0.7445640673022103	-1.2235535909573902	-0.377621236283859	0.10817034205898209	inflammatory	5
20	-0.8225042076835157	-0.7238598961253159	-0.2028601724718644	0.0674569160992401	0.4546401091321228	-0.8209119067053186	fibroblast_like	3
23	-0.620791525427314	1.1400781144432903	0.024150754652436008	-0.24367933563989252	-0.1937878472703984	-0.30807626363867346	inflammatory	13
