dataset_id	donor_id	n_pericytes	n_agtr1a_pos	mean_lognorm	any_pos
48b37086-25f7-4ecd-be66-f5bb378e3aea	1-M-62	8	4	1.0761423	True
48b37086-25f7-4ecd-be66-f5bb378e3aea	1-M-63	3	3	1.6667948	True
48b37086-25f7-4ecd-be66-f5bb378e3aea	18-F-50	2	1	1.0330626	True
48b37086-25f7-4ecd-be66-f5bb378e3aea	18-F-51	2	1	1.244352	True
48b37086-25f7-4ecd-be66-f5bb378e3aea	18-M-52	3	3	1.6562849	True
48b37086-25f7-4ecd-be66-f5bb378e3aea	18-M-53	1	1	2.1826618	True
48b37086-25f7-4ecd-be66-f5bb378e3aea	21-F-55	1	1	2.601533	True
48b37086-25f7-4ecd-be66-f5bb378e3aea	3-F-56	2	1	1.0734671	True
48b37086-25f7-4ecd-be66-f5bb378e3aea	3-F-57	5	5	1.869566	True
48b37086-25f7-4ecd-be66-f5bb378e3aea	3-M-5/6	7	4	1.1097572	True
48b37086-25f7-4ecd-be66-f5bb378e3aea	3-M-7/8	19	10	0.9110329	True
48b37086-25f7-4ecd-be66-f5bb378e3aea	30-M-3	3	3	1.4330616	True
48b37086-25f7-4ecd-be66-f5bb378e3aea	30-M-4	4	3	1.3902779	True
48b37086-25f7-4ecd-be66-f5bb378e3aea	30-M-5	1	0	0.0	False
98e5ea9f-16d6-47ec-a529-686e76515e39	18_46_F	10	10	2.5430415	True
98e5ea9f-16d6-47ec-a529-686e76515e39	18_47_F	8	8	2.483409	True
98e5ea9f-16d6-47ec-a529-686e76515e39	18_53_M	1	1	1.0889822	True
98e5ea9f-16d6-47ec-a529-686e76515e39	24_58_M	1	0	0.0	False
98e5ea9f-16d6-47ec-a529-686e76515e39	24_60_M	2	2	1.6518965	True
98e5ea9f-16d6-47ec-a529-686e76515e39	24_61_M	1	0	0.0	False
98e5ea9f-16d6-47ec-a529-686e76515e39	3_10_M	1	1	1.1790116	True
98e5ea9f-16d6-47ec-a529-686e76515e39	3_11_M	2	2	2.304331	True
98e5ea9f-16d6-47ec-a529-686e76515e39	3_38_F	2	2	1.0646645	True
98e5ea9f-16d6-47ec-a529-686e76515e39	3_39_F	3	3	2.2298183	True
98e5ea9f-16d6-47ec-a529-686e76515e39	3_8_M	3	3	1.7274102	True
98e5ea9f-16d6-47ec-a529-686e76515e39	3_9_M	4	3	2.1233332	True
