cell_type	047d57f2-4d14-45de-aa98-336c6f583750	48b37086-25f7-4ecd-be66-f5bb378e3aea	89840cec-5734-455d-b68e-34d27650e148	98e5ea9f-16d6-47ec-a529-686e76515e39
pericyte	0	61	0	38
smooth muscle cell of the pulmonary artery	0	98	0	111
vascular associated smooth muscle cell	1196	0	1241	0
