cell_type	n	mean	detect	gene	layer	dataset_id
pericyte	61	1.2188588	0.6557377049180327	Agtr1a	lognorm	48b37086-25f7-4ecd-be66-f5bb378e3aea
smooth muscle cell of the pulmonary artery	98	0.0	0.0	Agtr1a	lognorm	48b37086-25f7-4ecd-be66-f5bb378e3aea
pericyte	38	2.0519073	0.9210526315789473	Agtr1a	lognorm	98e5ea9f-16d6-47ec-a529-686e76515e39
smooth muscle cell of the pulmonary artery	111	0.00029079767	0.009009009009009009	Agtr1a	lognorm	98e5ea9f-16d6-47ec-a529-686e76515e39
pericyte	61	3.0456016	1.0	Agtr1a	scvi_corrected	48b37086-25f7-4ecd-be66-f5bb378e3aea
smooth muscle cell of the pulmonary artery	98	0.1190291	1.0	Agtr1a	scvi_corrected	48b37086-25f7-4ecd-be66-f5bb378e3aea
pericyte	38	2.6451714	1.0	Agtr1a	scvi_corrected	98e5ea9f-16d6-47ec-a529-686e76515e39
smooth muscle cell of the pulmonary artery	111	0.06054485	1.0	Agtr1a	scvi_corrected	98e5ea9f-16d6-47ec-a529-686e76515e39
pericyte	61	0.0	0.0	Agtr1b	lognorm	48b37086-25f7-4ecd-be66-f5bb378e3aea
smooth muscle cell of the pulmonary artery	98	0.0	0.0	Agtr1b	lognorm	48b37086-25f7-4ecd-be66-f5bb378e3aea
pericyte	38	0.0	0.0	Agtr1b	lognorm	98e5ea9f-16d6-47ec-a529-686e76515e39
smooth muscle cell of the pulmonary artery	111	0.0	0.0	Agtr1b	lognorm	98e5ea9f-16d6-47ec-a529-686e76515e39
pericyte	61	0.009544925	1.0	Agtr1b	scvi_corrected	48b37086-25f7-4ecd-be66-f5bb378e3aea
smooth muscle cell of the pulmonary artery	98	0.011750194	1.0	Agtr1b	scvi_corrected	48b37086-25f7-4ecd-be66-f5bb378e3aea
pericyte	38	0.006378815	1.0	Agtr1b	scvi_corrected	98e5ea9f-16d6-47ec-a529-686e76515e39
smooth muscle cell of the pulmonary artery	111	0.0060822265	1.0	Agtr1b	scvi_corrected	98e5ea9f-16d6-47ec-a529-686e76515e39
pericyte	61	0.0	0.0	Agtr2	lognorm	48b37086-25f7-4ecd-be66-f5bb378e3aea
smooth muscle cell of the pulmonary artery	98	0.0	0.0	Agtr2	lognorm	48b37086-25f7-4ecd-be66-f5bb378e3aea
pericyte	38	0.0	0.0	Agtr2	lognorm	98e5ea9f-16d6-47ec-a529-686e76515e39
smooth muscle cell of the pulmonary artery	111	0.0	0.0	Agtr2	lognorm	98e5ea9f-16d6-47ec-a529-686e76515e39
pericyte	61	0.015221713	1.0	Agtr2	scvi_corrected	48b37086-25f7-4ecd-be66-f5bb378e3aea
smooth muscle cell of the pulmonary artery	98	0.1413953	1.0	Agtr2	scvi_corrected	48b37086-25f7-4ecd-be66-f5bb378e3aea
pericyte	38	0.008408181	1.0	Agtr2	scvi_corrected	98e5ea9f-16d6-47ec-a529-686e76515e39
smooth muscle cell of the pulmonary artery	111	0.3297379	1.0	Agtr2	scvi_corrected	98e5ea9f-16d6-47ec-a529-686e76515e39
