core_cluster,top1_full_cluster,top1_prop,top2_full_cluster,top2_prop
0,1,0.4317147192716237,2,0.21927162367223066
1,0,0.9752380952380952,5,0.014285714285714285
2,0,0.7915904936014625,2,0.1170018281535649
3,0,0.6068376068376068,4,0.2564102564102564
