leiden_pericytes,mean,std,n_cells
0,-0.3914942,0.9129501,3629
1,0.31916246,0.941952,3521
2,0.31255662,0.9165561,2796
3,-0.3571036,0.95787376,1564
4,-0.10844996,1.3660662,170
