cluster	donor_id	gene_name	expression
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A26	AGTR1	1.101651
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A37	ACTA2	1.3811241
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A37	AGTR1	1.0544028
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A40	ACTA2	1.172367
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A40	AGTR1	0.2558723
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A43	ACTA2	1.6233926
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A43	AGTR1	0.7493757
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A44	ACTA2	1.5199826
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A44	AGTR1	0.9275892
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Case_1	ACTA2	1.6064632
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Case_1	AGTR1	0.87297773
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D062	ACTA2	1.2510619
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D062	AGTR1	0.0
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D12	ACTA2	1.4515024
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D12	AGTR1	0.88066876
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D239	ACTA2	1.2553332
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D239	AGTR1	0.9960392
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D3	ACTA2	2.6692173
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D3	AGTR1	0.9291963
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D8	ACTA2	1.9705849
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D8	AGTR1	0.75207347
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD046Q	ACTA2	1.8876286
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD046Q	AGTR1	0.6118429
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD047Q	ACTA2	0.5086266
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD047Q	AGTR1	0.61804754
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD073R	ACTA2	1.7442632
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD073R	AGTR1	1.096812
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_02	ACTA2	2.4332879
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_02	AGTR1	2.270169
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF1	ACTA2	1.6373836
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF1	AGTR1	0.6083405
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF2	ACTA2	1.2195228
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF2	AGTR1	0.8286127
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF3	ACTA2	1.9902288
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF3	AGTR1	0.30903995
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF_02	ACTA2	2.5467584
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF_02	AGTR1	0.0
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747ND17494	ACTA2	3.1779268
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747ND17494	AGTR1	2.7775729
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML1	ACTA2	0.7285858
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML1	AGTR1	0.6673524
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML2	ACTA2	2.606264
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML2	AGTR1	1.4853412
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML3	ACTA2	1.667649
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML3	AGTR1	1.3468171
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NU_CZI01	ACTA2	2.224306
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NU_CZI01	AGTR1	1.0906137
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NU_CZI02	ACTA2	2.3916981
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NU_CZI02	AGTR1	0.8727014
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747PMB_1	ACTA2	1.2392958
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747PMB_1	AGTR1	0.56332636
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747PMB_2	ACTA2	1.688172
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747PMB_2	AGTR1	0.51565135
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_1	ACTA2	0.8015237
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_1	AGTR1	1.3593603
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_3	ACTA2	2.4174752
