gene
AASDHPPT
ACTA2
ACTB
ACTN1
ACYP2
ADAM10
ADAM17
ADAMTS2
ADGRG6
ADH5
AFF4
AGAP1
AGPAT5
AK2
AKAP13
AKIRIN2
AKT3
ANGPT1
ANKIB1
ANKRD10
ANKRD11
AP2A1
APLP2
APOLD1
ARF5
ARFGAP2
ARHGAP21
ARHGAP29
ARID1B
ARID2
ARID4B
ARL6IP4
ARL6IP5
ARPC4
ASAH1
ASH1L
ATP5F1C
ATP5MC3
ATP5ME
ATP5MK
ATP5PF
ATRAID
AZI2
BAD
BAZ1B
BEX3
BIRC6
BMP1
BMPR1A
BMPR2
BRD4
BTF3
BTG1
C14orf119
C5orf15
CACNA1H
CACNB2
CAP1
CARHSP1
CASK
CBX1
CCDC102B
CCDC186
CCDC59
CCDC66
CCDC82
CCNC
CCNL1
CD2AP
CD4
CD63
CD74
CDC37L1
CDC42
CDH5
CDK12
CDKAL1
CDKN1A
CDYL
CEBPD
CEP112
CEP57
CFDP1
CFL1
CHCHD1
CHD2
CHFR
CHID1
CHN1
CHORDC1
CHST3
CIAO2B
CIRBP
CLDN4
CLDN5
CLMN
CLSTN1
CLTA
CMTM6
CNIH1
CNOT4
COL12A1
COL18A1
COL1A2
COL4A1
COL6A2
COMMD6
COMMD7
COMT
COPS4
COPS8
COPZ1
COQ10B
CORO1C
COX14
COX7B
COX8A
CPNE1
CRADD
CRK
CSNK2A1
CSRNP1
CTBP2
CTHRC1
CTNNA1
CTSA
CTSD
CUEDC2
CYCS
CYTH2
DAP3
DCAF5
DCLK2
DDX50
DDX6
DENND2A
DENND4A
DENND6A
DERL1
DGKG
DIAPH2
DIS3L2
DLL4
DLST
DMTF1
DMXL1
DNAJA2
DNAJB14
DOCK6
DOCK7
DPYD
DPYSL2
DST
DSTN
DYNC1I2
DYNLRB1
ECHS1
ECI2
EDIL3
EDNRA
EEF1D
EEF2
EFEMP2
EGFL6
EHMT1
EIF1B
EIF3J
EIF4A1
EIF4E
EIF6
ELN
ELOB
ENOX1
ENSG00000275443
ENSG00000279483
EPAS1
EPM2AIP1
EPS8
ERGIC1
ERGIC2
ERH
ETS1
FAM120A
FAM13B
FAM162B
FAM50A
FAR2
FAU
FBH1
FBLIM1
FBLN1
FBLN2
FBXL3
FBXO42
FDPS
FGD5-AS1
FHL2
FHL5
FKBP11
FKBP7
FKBP8
FKBP9
FLT1
FOS
FOXO3
FOXP1
FOXS1
FRG1
FRY
FTX
FXYD1
GABARAPL2
GADD45GIP1
GALNT1
GAPDH
GBP1
GCFC2
GCLM
GDI2
GLO1
GNAI1
GNB2
GNG11
GOLM2
GPR20
GPX3
GRB10
GRB2
GSDMD
GTF2I
GUCY1B1
H1-0
H2AZ1
HAX1
HDAC5
HES1
HEY1
HIGD1B
HIP1
HNRNPH1
HNRNPH3
HNRNPUL1
HOOK2
HOXB2
HSD17B12
HSF1
HSP90AB1
HSPA12A
HSPA5
HYAL2
HYCC1
IAH1
IFITM2
IMPA2
INTS6
IQGAP1
IRF2BPL
IRF3
ISCU
ISYNA1
ITGA1
ITIH5
ITPRID2
JAG1
JAM2
JKAMP
JUN
JUNB
KARS1
KCNK17
KDM6A
KDR
KHDRBS1
KIAA0040
KLHL20
KRT18
KRT19
KRT7
KRT8
KXD1
LAMA4
LAPTM4A
LAPTM4B
LATS2
LBH
LCN2
LCOR
LDHB
LEPROT
LGMN
LHFPL6
LINC-PINT
LINC00486
LITAF
LMCD1
LOX
LOXL1
LPP
LRBA
LRPPRC
LRRFIP1
LSM4
LTBP4
LTBR
LZTS1
MAP3K2
MAP3K20
MAP7D1
MAPK1
MAPK10
MARK3
MAX
MBNL2
MCFD2
MCL1
MCMBP
MCRIP1
MCU
MDM2
MEAF6
MED10
MED15
MED28
METAP2
MFAP5
MOB4
MRFAP1
MRPL21
MRPL27
MRPL4
MRPS18B
MRPS2
MRPS21
MRPS26
MT-ATP6
MT-CO1
MT-CO2
MT-CYB
MT-ND5
MT1X
MTA3
MTCH2
MTIF3
MYADM
MYDGF
MYO1B
N4BP2L2
NAA15
NAA35
NACA
NCALD
NCBP2AS2
NCOR1
NDUFA13
NDUFA4L2
NDUFAF3
NDUFAF8
NDUFB11
NDUFB2
NDUFS4
NFE2L2
NFKBIZ
NFU1
NHSL1
NICOL1
NMD3
NNMT
NORAD
NOTCH3
NPC2
NPIPB5
NR2F2
NR2F2-AS1
NRP1
NT5C2
NTMT1
NUCB1
NUMB
NUTM2A-AS1
NXF1
OCLN
P4HA1
P4HA2
PACSIN2
PAG1
PAPOLA
PARD3
PARM1
PAWR
PCF11
PCGF5
PCM1
PCNX1
PCNX4
PCOLCE
PCYOX1
PDCL3
PDE4D
PDGFA
