program	gene
EC_barrier_angiogenic	CDH5
EC_barrier_angiogenic	CLDN5
EC_barrier_angiogenic	OCLN
EC_barrier_angiogenic	TJP1
EC_barrier_angiogenic	ESAM
EC_barrier_angiogenic	JAM2
EC_barrier_angiogenic	S1PR1
EC_barrier_angiogenic	TEK
EC_barrier_angiogenic	KDR
EC_barrier_angiogenic	FLT1
EC_barrier_angiogenic	ANGPT2
EC_barrier_angiogenic	ESM1
EC_barrier_angiogenic	APLNR
EC_barrier_angiogenic	DLL4
EC_barrier_angiogenic	HEY1
EC_barrier_angiogenic	NRP1
fibroblast_matrix	LOX
fibroblast_matrix	LOXL1
fibroblast_matrix	LOXL2
fibroblast_matrix	P4HA1
fibroblast_matrix	P4HA2
fibroblast_matrix	PLOD1
fibroblast_matrix	PLOD2
fibroblast_matrix	SERPINH1
fibroblast_matrix	PCOLCE
fibroblast_matrix	ADAMTS2
fibroblast_matrix	BMP1
fibroblast_matrix	ELN
fibroblast_matrix	FBLN1
fibroblast_matrix	FBLN2
fibroblast_matrix	MFAP5
fibroblast_matrix	CTHRC1
epithelial_repair	KRT8
epithelial_repair	KRT18
epithelial_repair	KRT19
epithelial_repair	KRT7
epithelial_repair	CLDN4
epithelial_repair	SFN
epithelial_repair	SOX4
epithelial_repair	CDKN1A
epithelial_repair	TP53I3
epithelial_repair	LCN2
EC_readout	CDH5
EC_readout	CLDN5
EC_readout	OCLN
EC_readout	TJP1
EC_readout	ESAM
EC_readout	JAM2
EC_readout	S1PR1
EC_readout	TEK
