dropped_dataset	dropped_level	response	n	n_dropped	n_studies	n_datasets	estimate	se	p	singular	model
Banovich_Kropski_2020	dataset	injury_frac	74	15	17	22	0.00881002380569294	0.010823175305362	0.418488481026036	TRUE	lmer(~ disease_group + sex + (1 | study))
Budinger_2020	dataset	injury_frac	86	3	17	22	0.0085369268185321	0.0103955949933292	0.41664799600263	FALSE	lmer(~ disease_group + sex + (1 | study))
Duong_lungMAP_unpubl	dataset	injury_frac	88	1	17	22	0.00889730396853601	0.0100159646147071	0.380165988021894	FALSE	lmer(~ disease_group + sex + (1 | study))
Eils_2020	dataset	injury_frac	86	3	17	22	0.00856420143695438	0.0101404115548101	0.4041138365332	FALSE	lmer(~ disease_group + sex + (1 | study))
Kaminski_2020	dataset	injury_frac	82	7	17	22	0.00577953315071484	0.00990996475456037	0.563506886562363	FALSE	lmer(~ disease_group + sex + (1 | study))
Krasnow_2020	dataset	injury_frac	86	3	17	22	0.00787259427414128	0.0100803853304224	0.439576517543428	FALSE	lmer(~ disease_group + sex + (1 | study))
Lafyatis_2019	dataset	injury_frac	85	4	17	22	0.00955932122970403	0.0118769960897327	0.425771431730712	FALSE	lmer(~ disease_group + sex + (1 | study))
Meyer_2019	dataset	injury_frac	88	1	17	22	0.0106059312709992	0.00918928533876316	0.254629177574589	FALSE	lmer(~ disease_group + sex + (1 | study))
Meyer_2021_3prime	dataset	injury_frac	88	1	18	22	0.00902616014861504	0.0100700962523153	0.37615941502668	FALSE	lmer(~ disease_group + sex + (1 | study))
Meyer_2021_5prime	dataset	injury_frac	85	4	18	22	0.0110438677986834	0.00936059751916168	0.24689496704466	FALSE	lmer(~ disease_group + sex + (1 | study))
Misharin_2021	dataset	injury_frac	87	2	17	22	0.0103181093144524	0.00959198902363989	0.288858400594538	FALSE	lmer(~ disease_group + sex + (1 | study))
Peer_Massague_2020	dataset	injury_frac	87	2	17	22	0.00781707320376821	0.0103349494829677	0.454891080724327	FALSE	lmer(~ disease_group + sex + (1 | study))
Regev_2021_Cryo	dataset	injury_frac	87	2	18	22	0.0104952326382308	0.00965568384637438	0.284208624531212	FALSE	lmer(~ disease_group + sex + (1 | study))
Regev_2021_Nuclei	dataset	injury_frac	77	12	18	22	0.00752075218102344	0.0110069542307915	0.498233516312928	FALSE	lmer(~ disease_group + sex + (1 | study))
Schiller_2020	dataset	injury_frac	84	5	17	22	0.00780715832824334	0.0108491967323159	0.477179525647802	FALSE	lmer(~ disease_group + sex + (1 | study))
Schiller_2021	dataset	injury_frac	87	2	17	22	0.008980949805965	0.010088406055395	0.37938525649755	FALSE	lmer(~ disease_group + sex + (1 | study))
Sheppard_2020	dataset	injury_frac	81	8	17	22	0.00847282258725565	0.0117184872903641	0.47656321772063	FALSE	lmer(~ disease_group + sex + (1 | study))
Sun_2020_batch1	dataset	injury_frac	88	1	18	22	0.00891350309625974	0.0100739838458155	0.381908650077687	FALSE	lmer(~ disease_group + sex + (1 | study))
Sun_2020_batch2	dataset	injury_frac	87	2	18	22	0.00993786261340984	0.00969658303862534	0.3120602106365	FALSE	lmer(~ disease_group + sex + (1 | study))
