dropped_dataset	response	n	estimate	se	p
Meyer_2021_3prime	injury_frac	35	0.249672850668377	0.0911254532820885	0.0102482990078235
Meyer_2021_5prime	injury_frac	34	0.247661596748186	0.0912093553671131	0.0110380353633008
Budinger_2020	injury_frac	33	0.253170820803374	0.0923195613904158	0.0103444235599846
Sun_2020_batch3	injury_frac	33	0.251485054276074	0.0922951588674415	0.0109628002642043
Sun_2020_batch2	injury_frac	35	0.254329427152912	0.0910372740064655	0.00899083358038043
Sun_2020_batch4	injury_frac	34	0.258533343476099	0.087444853078104	0.00612738160772028
Sun_2020_batch1	injury_frac	35	0.253713262255811	0.0909294506770077	0.00906721603239872
Duong_lungMAP_unpubl	injury_frac	35	0.247219059068092	0.0892264055796391	0.00950935332360523
Tata_unpubl	injury_frac	35	0.251491077541146	0.0906088663349146	0.00939713782572584
Eils_2020	injury_frac	35	0.268438764226199	0.0851827837531413	0.00367016425801213
Misharin_2021	injury_frac	34	0.240922735863072	0.0891220589542306	0.0113603189482023
Schiller_2021	injury_frac	34	0.238937892433114	0.0863236258463538	0.00972512840769093
Lafyatis_2019	injury_frac	33	0.293166776514483	0.181525488225412	0.117521009162658
Banovich_Kropski_2020	injury_frac	30	0.249261949717425	0.0924506237346759	0.0123675684958502
Krasnow_2020	injury_frac	33	0.256524122609742	0.093193201689432	0.0102584486985704
Schiller_2020	injury_frac	32	0.29194730221411	0.0962042817050782	0.00527675669152383
Meyer_2021_3prime	niche_index	35	-0.67199418383016	0.363620136029136	0.0744730919211874
Meyer_2021_5prime	niche_index	34	-0.641045502360843	0.360550887930131	0.0858987190954529
Budinger_2020	niche_index	33	-0.659331263361164	0.367826509884687	0.0834906728994708
Sun_2020_batch3	niche_index	33	-0.60805350232107	0.350730825941845	0.0939758166477525
Sun_2020_batch2	niche_index	35	-0.654513433827226	0.359371169923212	0.0785517917678482
Sun_2020_batch4	niche_index	34	-0.673585769553881	0.361325156778901	0.0724442283724242
Sun_2020_batch1	niche_index	35	-0.665287573683589	0.36102694008062	0.0752655242514086
Duong_lungMAP_unpubl	niche_index	35	-0.647314833105918	0.360600202502155	0.082718646331616
Tata_unpubl	niche_index	35	-0.681700174304002	0.355627757223035	0.0648198156673444
Eils_2020	niche_index	35	-0.734139785462451	0.323956181553676	0.0308163830341543
