sample	Pattern_1	Pattern_2	Pattern_3	Pattern_4	Pattern_5	cell_type	donor_id	disease_group	n_cells
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747217CO	0.402581529113508	1.63685098515658	-0.188536040893351	1.24977715538679	0.748050325954639	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747217CO	COPD	15
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747222C	0.464158544273712	0.953513908255104	-0.0139805999970367	1.2629826490443	0.568844228836333	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747222C	Healthy	74
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747222I	0.715543181178529	1.38895083251234	-0.463563597122577	0.862016726949108	0.933539277365224	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747222I	Fibrotic_ILD	10
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747237CO	0.522713343737912	1.33576528257302	-0.467008948519494	0.801487458940489	0.986355018164837	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747237CO	COPD	32
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374723CO	0.38428731403775	2.03325123763189	-0.422223173164001	1.39845276735575	0.689808420888459	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374723CO	COPD	16
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747244C	0.424629660806473	0.83345604747639	-0.0544958539378071	0.845442803106345	0.804794039773527	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747244C	Healthy	61
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747290B	0.201606633925671	2.27930287811657	0.174184316180543	1.66607209482678	-0.484006032237962	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747290B	Healthy	14
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747296C	0.577297387907356	1.35459220973034	-0.27432309208601	1.21305510169101	0.332996326779756	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747296C	Healthy	14
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747298C	0.353130472696715	2.07403149309722	-0.0603702408674642	2.01347289657536	-0.628614697457337	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747298C	Healthy	10
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747356C	0.190537009774612	1.50377234863168	0.0965889333233097	1.33645047036316	-0.379895423441751	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747356C	Healthy	87
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747388C	0.27143962144561	1.33463879088145	0.0402093469617509	1.03202851058168	0.513373197250337	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747388C	Healthy	10
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747396C	0.639964484065947	0.690222306888067	0.0461825013768843	0.683771839382597	0.8490967110271	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747396C	Healthy	11
