sample	Pattern_1	Pattern_2	Pattern_3	Pattern_4	Pattern_5	Pattern_6	Pattern_7	Pattern_8	Pattern_9	cell_type	donor_id	disease_group	n_cells
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747001C	0.221163483377203	0.453001362961522	0.15137311519109	0.811680265419171	-0.599133301302488	-0.341846318395699	1.68690783673484	0.0484055034125769	0.544606987001241	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747001C	Healthy	40
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747021I	0.223903183181824	2.1907538273584	0.901760770177067	1.18927204023642	-0.812695680273114	-0.549188898724347	1.20210598622811	-0.139282427359072	0.935290366027086	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747021I	Fibrotic_ILD	28
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747022I	0.393771657273255	0.80986169195955	1.04926317307856	1.00772409655709	-0.981363147740793	-0.288995588177872	1.01008501030807	0.0817482232148715	1.03817660728673	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747022I	Fibrotic_ILD	20
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747052CO	0.205291366538491	1.71914032682827	1.67704512949155	1.09487556711942	-0.676249949009642	-0.580038808322156	1.06498062431186	-0.223047139018501	0.74326374155146	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747052CO	COPD	93
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747056CO	0.356357824890986	0.601263222584131	0.446116250619561	0.873997995558805	-0.849662230304356	-0.52981372632662	1.27592004137102	0.0249400207554381	0.997600905281387	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747056CO	COPD	15
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747098C	0.356795548930222	0.754450181113807	0.621373508965083	0.935586520504213	-0.742936332486531	-0.280354539285097	1.18706461813576	0.0479455893352304	0.437829109477924	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747098C	Healthy	14
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747101CV0ng	0.601346770307528	0.416520180994668	0.915218390195843	0.835625146294671	-0.323602687713047	-0.561754559344145	-0.12081762916443	0.00792784389387837	1.23114537649	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747101CV0ng	Healthy	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747133C	0.336350753216691	1.26802338270804	1.42097241764951	0.922596470754273	-0.757659975094362	-0.363431125114613	1.32382767127321	-0.0362379211468972	0.391572578923738	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747133C	Healthy	108
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837471372C	0.276876801894408	0.748837205898785	1.40239640840624	0.936679775389829	-0.717346052292515	-0.313290039957042	1.42003313333786	-0.0349002381853812	0.511218518617617	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837471372C	Healthy	48
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747145I	0.346832970910385	0.820340509134677	1.46247995504207	0.948166561017176	-0.876218454046282	-0.264227477892486	1.37856491204447	0.0540657384187067	0.682660213590527	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747145I	Fibrotic_ILD	11
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747152CO	0.262661924379677	0.931990288198282	1.07083139496688	0.810726462596747	-0.615660834131638	-0.333847450024793	1.16992015563314	0.0113846286829156	0.566259341076375	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747152CO	COPD	40
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747160C	0.374003900231119	0.698205703417756	0.459248073154066	0.833267924800136	-0.631959393758373	-0.0709399503057159	1.28435643901584	0.0875442374266388	0.598864995952143	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747160C	Healthy	10
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747166I	0.395764842567718	1.02562486170628	0.694702740613754	0.834599399413597	-0.795135838007949	-0.467323632572885	1.19520728319642	-0.0169692037410762	0.760982528787224	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747166I	Fibrotic_ILD	30
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374716E0F2ng	0.447760258993379	0.309801106649699	2.37392732301541	0.759983794740129	0.14068613383274	-0.33140833149268	-0.150414830143082	-0.109235581252796	0.941010489574492	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374716E0F2ng	Healthy	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747177I	0.392939776256475	1.17123007597935	1.10179768848366	0.93375401825082	-0.92775231501	-0.504051159802792	1.13556202799238	0.0904182699692206	0.714088934629153	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747177I	Fibrotic_ILD	10
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747178CO	0.269517513542722	1.17598437492565	0.721096927673042	0.765212336399496	-0.749078157070482	-0.630992485872182	1.07423396886823	-0.0402645171408485	1.08052626715207	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747178CO	COPD	31
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747184CO	0.267550274876402	0.845658064373939	0.743070602512126	0.820431277552913	-0.729767281555364	-0.433853356122005	1.32988032943461	0.0067291823385247	0.766951325228993	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747184CO	COPD	12
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747192C	0.274579583181784	1.10183838210095	0.702875259221542	1.09455874568945	-0.736313279444544	-0.250269854364411	1.14800458120124	-0.0151263320637832	0.72433652212563	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747192C	Healthy	22
