pattern	program	cell_type	term	estimate	se	p	n
Pattern_2	Pattern_2 (inflammatory)	Mast cells	disease_groupHealthy	-0.138864816589159	0.0900576544524189	0.124775134927947	191
Pattern_2	Pattern_2 (inflammatory)	Mast cells	disease_groupOther	-0.237146762802045	0.0974510344656725	0.0158941628905544	191
Pattern_2	Pattern_2 (inflammatory)	Myofibroblasts	disease_groupHealthy	-0.376661073696406	0.259122922502992	0.155502016569906	36
Pattern_2	Pattern_2 (inflammatory)	Myofibroblasts	disease_groupOther	-1.45186221446458	0.369398613480857	0.000409841397268672	36
Pattern_2	Pattern_2 (inflammatory)	Non-classical monocytes	disease_groupFibrotic_ILD	-0.0614443208681053	0.090660059951565	0.498633397648684	228
Pattern_2	Pattern_2 (inflammatory)	Non-classical monocytes	disease_groupHealthy	-0.22926948152295	0.0856732688512709	0.00799902824498017	228
Pattern_2	Pattern_2 (inflammatory)	Non-classical monocytes	disease_groupOther	-0.286969946033555	0.0970123779639391	0.00342771401136685	228
Pattern_2	Pattern_2 (inflammatory)	Peribronchial fibroblasts	disease_groupHealthy	-0.15282589096066	0.106340136075145	0.153799209786202	103
Pattern_2	Pattern_2 (inflammatory)	Peribronchial fibroblasts	disease_groupOther	-0.458574576670578	0.119608178760717	0.000220616685975406	103
Pattern_2	Pattern_2 (inflammatory)	Pericytes	disease_groupFibrotic_ILD	-0.391284940837682	0.673187832206446	0.562615615772647	89
Pattern_2	Pattern_2 (inflammatory)	Pericytes	disease_groupHealthy	-1.18497330983927	0.667392707174077	0.0793902388792014	89
Pattern_2	Pattern_2 (inflammatory)	Pericytes	disease_groupOther	-1.39731142694907	0.674410699394542	0.0413057761833808	89
Pattern_2	Pattern_2 (inflammatory)	Transitional Club-AT2	disease_groupFibrotic_ILD	0.160216857451612	0.154711444239394	0.302008725029132	159
Pattern_2	Pattern_2 (inflammatory)	Transitional Club-AT2	disease_groupHealthy	0.011839482948918	0.151831351651037	0.937946241481697	159
Pattern_2	Pattern_2 (inflammatory)	Transitional Club-AT2	disease_groupOther	0.0171572774637385	0.185822739706783	0.926553953249186	159
Pattern_2	Pattern_2 (inflammatory)	Vascular smooth muscle	disease_groupFibrotic_ILD	-1.20508747609607	0.733001095302257	0.102720348001025	127
Pattern_2	Pattern_2 (inflammatory)	Vascular smooth muscle	disease_groupHealthy	-1.90671095199028	0.728287212997322	0.00995343307725806	127
Pattern_2	Pattern_2 (inflammatory)	Vascular smooth muscle	disease_groupOther	-2.47068435367618	0.736516708254799	0.00105738031455778	127
Pattern_3	Pattern_3 (inflammatory)	AT1	disease_groupFibrotic_ILD	0.0694748950004575	0.224122616431738	0.756958015565762	171
Pattern_3	Pattern_3 (inflammatory)	AT1	disease_groupHealthy	-0.151082673004383	0.19541563345415	0.44053540008345	171
Pattern_3	Pattern_3 (inflammatory)	AT1	disease_groupOther	-0.619375368180348	0.225533685668722	0.00668891966181699	171
Pattern_3	Pattern_3 (inflammatory)	AT2	disease_groupFibrotic_ILD	0.0513104483176388	0.242410605350429	0.832552266983842	236
Pattern_3	Pattern_3 (inflammatory)	AT2	disease_groupHealthy	0.0133798385736206	0.227522238181137	0.953156669974537	236
Pattern_3	Pattern_3 (inflammatory)	AT2	disease_groupOther	-0.689876223712632	0.253433705046198	0.00697891881926229	236
Pattern_3	Pattern_3 (inflammatory)	Adventitial fibroblasts	disease_groupFibrotic_ILD	-0.234450051938795	0.261394792915399	0.371248681259168	149
Pattern_3	Pattern_3 (inflammatory)	Adventitial fibroblasts	disease_groupHealthy	-0.355165727272483	0.251266102331064	0.159650723430993	149
Pattern_3	Pattern_3 (inflammatory)	Adventitial fibroblasts	disease_groupOther	-1.17024566643485	0.280238024404729	5.10004326000631e-05	149
Pattern_3	Pattern_3 (inflammatory)	Alveolar fibroblasts	disease_groupFibrotic_ILD	-0.00816025646067559	0.353751496355049	0.981628831663398	145
Pattern_3	Pattern_3 (inflammatory)	Alveolar fibroblasts	disease_groupHealthy	-0.451423916875681	0.327247712344884	0.169937994480793	145
Pattern_3	Pattern_3 (inflammatory)	Alveolar fibroblasts	disease_groupOther	-0.965693047863804	0.359976340489397	0.00817711990275947	145
Pattern_3	Pattern_3 (inflammatory)	Alveolar macrophages	disease_groupFibrotic_ILD	0.192456610678591	0.154118984838994	0.212688441259141	317
Pattern_3	Pattern_3 (inflammatory)	Alveolar macrophages	disease_groupHealthy	-0.0210511145664953	0.145359224241559	0.884945157295668	317
Pattern_3	Pattern_3 (inflammatory)	Alveolar macrophages	disease_groupOther	-0.488353354037401	0.154337056673254	0.00170787623588011	317
Pattern_3	Pattern_3 (inflammatory)	Classical monocytes	disease_groupFibrotic_ILD	0.289290704304604	0.175281605038108	0.0998768539142702	311
Pattern_3	Pattern_3 (inflammatory)	Classical monocytes	disease_groupHealthy	0.349721891416734	0.164904487467576	0.0347439571319954	311
Pattern_3	Pattern_3 (inflammatory)	Classical monocytes	disease_groupOther	-0.000996389297138754	0.174045522380261	0.995435951811554	311
Pattern_3	Pattern_3 (inflammatory)	DC2	disease_groupFibrotic_ILD	0.209374712995827	0.206915536799233	0.312359959752801	323
Pattern_3	Pattern_3 (inflammatory)	DC2	disease_groupHealthy	0.0593966535829724	0.195578085490047	0.761556045242081	323
Pattern_3	Pattern_3 (inflammatory)	DC2	disease_groupOther	-0.100231997689492	0.210280237693933	0.633931201851419	323
Pattern_3	Pattern_3 (inflammatory)	EC aerocyte capillary	disease_groupFibrotic_ILD	-0.00648241938298471	0.508904302245859	0.989862461513912	103
Pattern_3	Pattern_3 (inflammatory)	EC aerocyte capillary	disease_groupHealthy	0.0480872736373818	0.488192462304728	0.921733922048918	103
Pattern_3	Pattern_3 (inflammatory)	EC aerocyte capillary	disease_groupOther	-0.881879179734046	0.508904302245859	0.0862276512880671	103
Pattern_3	Pattern_3 (inflammatory)	EC general capillary	disease_groupFibrotic_ILD	0.145097862804302	0.285592811812062	0.612129938125544	160
Pattern_3	Pattern_3 (inflammatory)	EC general capillary	disease_groupHealthy	0.185666172884023	0.26317995548754	0.481568443376962	160
Pattern_3	Pattern_3 (inflammatory)	EC general capillary	disease_groupOther	-0.442257400220063	0.29170607368583	0.131516203160248	160
Pattern_3	Pattern_3 (inflammatory)	EC venous pulmonary	disease_groupHealthy	0.301296353740724	0.166453194784864	0.0729384607880822	116
Pattern_3	Pattern_3 (inflammatory)	EC venous pulmonary	disease_groupOther	-0.491860161459209	0.24792516894681	0.0496909738732103	116
Pattern_3	Pattern_3 (inflammatory)	EC venous systemic	disease_groupFibrotic_ILD	0.874630587485654	0.803277095544138	0.278074202929083	146
Pattern_3	Pattern_3 (inflammatory)	EC venous systemic	disease_groupHealthy	1.03239267458401	0.802172934066142	0.200189954635897	146
Pattern_3	Pattern_3 (inflammatory)	EC venous systemic	disease_groupOther	1.15808999896765	0.811838016867075	0.155917920522247	146
Pattern_3	Pattern_3 (inflammatory)	Interstitial macrophages	disease_groupFibrotic_ILD	0.09962990801734	0.184340981364738	0.589253311963949	323
Pattern_3	Pattern_3 (inflammatory)	Interstitial macrophages	disease_groupHealthy	0.0821767294694807	0.174861164998267	0.638708882161508	323
Pattern_3	Pattern_3 (inflammatory)	Interstitial macrophages	disease_groupOther	-0.332752703654469	0.182424038651389	0.0690781811214787	323
Pattern_3	Pattern_3 (inflammatory)	Lymphatic EC	disease_groupFibrotic_ILD	-0.149196166664154	0.259018409522915	0.565415402892009	165
Pattern_3	Pattern_3 (inflammatory)	Lymphatic EC	disease_groupHealthy	-0.312168444739714	0.244972465715419	0.20439332541803	165
Pattern_3	Pattern_3 (inflammatory)	Lymphatic EC	disease_groupOther	-0.739974464145875	0.277799906008444	0.00851452367453594	165
Pattern_3	Pattern_3 (inflammatory)	Mast cells	disease_groupFibrotic_ILD	0.328810732972261	0.312318787851692	0.29378892416225	191
Pattern_3	Pattern_3 (inflammatory)	Mast cells	disease_groupHealthy	0.195326506225886	0.29346601651468	0.50649669127181	191
Pattern_3	Pattern_3 (inflammatory)	Mast cells	disease_groupOther	0.289693260155717	0.317558424808693	0.362810707467097	191
Pattern_3	Pattern_3 (inflammatory)	Myofibroblasts	disease_groupHealthy	-0.901838535910759	0.357895428831977	0.0167608375365077	36
Pattern_3	Pattern_3 (inflammatory)	Myofibroblasts	disease_groupOther	-2.15599913863864	0.510206020774339	0.00017651029325013	36
Pattern_3	Pattern_3 (inflammatory)	Non-classical monocytes	disease_groupFibrotic_ILD	0.343604620952965	0.193611365943146	0.0773034031922815	228
Pattern_3	Pattern_3 (inflammatory)	Non-classical monocytes	disease_groupHealthy	0.402710335657641	0.182961699076426	0.0287525873103653	228
Pattern_3	Pattern_3 (inflammatory)	Non-classical monocytes	disease_groupOther	-0.191039500648299	0.207177218071835	0.357465026571757	228
Pattern_3	Pattern_3 (inflammatory)	Peribronchial fibroblasts	disease_groupHealthy	-0.275375316402153	0.201823359212543	0.175492667019777	103
Pattern_3	Pattern_3 (inflammatory)	Peribronchial fibroblasts	disease_groupOther	-0.509336584722789	0.227004829199428	0.0270551747822795	103
Pattern_3	Pattern_3 (inflammatory)	Pericytes	disease_groupFibrotic_ILD	0.529522664083772	0.855949717874329	0.537809491213068	89
Pattern_3	Pattern_3 (inflammatory)	Pericytes	disease_groupHealthy	-0.0183871973596315	0.84858129052138	0.982763445506539	89
Pattern_3	Pattern_3 (inflammatory)	Pericytes	disease_groupOther	-0.723731955460907	0.857504577862244	0.401039737194521	89
Pattern_3	Pattern_3 (inflammatory)	Transitional Club-AT2	disease_groupFibrotic_ILD	-0.204936722234825	0.312073370607558	0.512351474405768	159
Pattern_3	Pattern_3 (inflammatory)	Transitional Club-AT2	disease_groupHealthy	-0.0521446920415502	0.306263844323779	0.865027161622306	159
Pattern_3	Pattern_3 (inflammatory)	Transitional Club-AT2	disease_groupOther	-0.0722860158281332	0.37482895335199	0.847328375583953	159
Pattern_3	Pattern_3 (inflammatory)	Vascular smooth muscle	disease_groupFibrotic_ILD	0.105795073591616	0.946198411397892	0.91115579029357	127
Pattern_3	Pattern_3 (inflammatory)	Vascular smooth muscle	disease_groupHealthy	-0.143047638827768	0.940113471038278	0.879310071865919	127
Pattern_3	Pattern_3 (inflammatory)	Vascular smooth muscle	disease_groupOther	-0.748770010076758	0.950736559310772	0.432464281143478	127
Pattern_6	Pattern_6 (fibroblast_like)	AT1	disease_groupFibrotic_ILD	0.254958538098346	0.0942486618728545	0.00753494242219111	171
