sample	cell_type	donor_id	disease_group	n_cells
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_03	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_03	Healthy	300
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747483C	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747483C	Healthy	18
Mast cells||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD046Q	Mast cells	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD046Q	Healthy	151
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A32	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A32	Healthy	55
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747053I	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747053I	Fibrotic_ILD	267
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML1	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML1	Healthy	300
Transitional Club-AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD61	Transitional Club-AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD61	Fibrotic_ILD	300
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837479JQK55ng	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837479JQK55ng	Healthy	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D17	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D17	Other	300
EC venous pulmonary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lafy_donor_4	EC venous pulmonary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lafy_donor_4	Healthy	72
Non-classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_3	Non-classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_3	Healthy	138
EC aerocyte capillary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lambrechts_8	EC aerocyte capillary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lambrechts_8	Other	45
Non-classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D5	Non-classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D5	Other	54
Lymphatic EC||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747PMB_2	Lymphatic EC	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747PMB_2	Other	82
Adventitial fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lafy_donor_6	Adventitial fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lafy_donor_6	Healthy	174
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD92	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD92	Healthy	300
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0020	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0020	Healthy	52
AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lafy_donor_2	AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lafy_donor_2	Healthy	211
Mast cells||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A43	Mast cells	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A43	Healthy	300
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD046Q	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD046Q	Healthy	300
Myofibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SCD2	Myofibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SCD2	Fibrotic_ILD	74
EC general capillary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A44	EC general capillary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A44	Healthy	300
Alveolar fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc9833	Alveolar fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc9833	Healthy	32
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747235CO	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747235CO	COPD	78
Transitional Club-AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747TILD030	Transitional Club-AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747TILD030	Fibrotic_ILD	14
AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML2	AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML2	Healthy	300
AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747HP_01	AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747HP_01	Fibrotic_ILD	300
EC aerocyte capillary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD104	EC aerocyte capillary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD104	Healthy	300
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A37	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A37	Healthy	300
EC general capillary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D14	EC general capillary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D14	Other	300
Alveolar fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_6	Alveolar fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_6	Healthy	36
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374749I	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374749I	Fibrotic_ILD	124
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SSc-ILD_01	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SSc-ILD_01	Fibrotic_ILD	77
EC general capillary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lafy_donor_6	EC general capillary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lafy_donor_6	Healthy	273
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747S5	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747S5	Other	255
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D122	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D122	Healthy	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D150	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D150	Healthy	300
Pericytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D062	Pericytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D062	Healthy	114
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747153CO	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747153CO	COPD	300
Transitional Club-AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_05	Transitional Club-AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_05	Healthy	70
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lambrechts_7	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lambrechts_7	Other	227
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747040I	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747040I	Fibrotic_ILD	79
Vascular smooth muscle||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747TILD015	Vascular smooth muscle	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747TILD015	Fibrotic_ILD	10
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SCD2	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SCD2	Fibrotic_ILD	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837479JQK55ng	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837479JQK55ng	Healthy	300
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SAMN12574693	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SAMN12574693	Fibrotic_ILD	62
AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD64	AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD64	Fibrotic_ILD	300
EC aerocyte capillary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SSc_3	EC aerocyte capillary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SSc_3	Fibrotic_ILD	46
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD53	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD53	Fibrotic_ILD	49
AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D239	AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D239	Healthy	300
Pericytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 2	Pericytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 2	Healthy	300
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747177I	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747177I	Fibrotic_ILD	208
EC aerocyte capillary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD67	EC aerocyte capillary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD67	Healthy	59
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD103	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD103	Healthy	300
Non-classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF3	Non-classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF3	Fibrotic_ILD	49
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF_01	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF_01	Fibrotic_ILD	87
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747PMB_1	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747PMB_1	Other	300
Non-classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A40	Non-classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A40	Healthy	300
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837472020-3173-NC003	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837472020-3173-NC003	Healthy	300
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Shalek2018_subject_318	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Shalek2018_subject_318	Other	26
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D12	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D12	Other	106
EC general capillary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SCD2	EC general capillary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SCD2	Fibrotic_ILD	28
EC venous systemic||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D339	EC venous systemic	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D339	Healthy	300
EC venous systemic||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A43	EC venous systemic	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A43	Healthy	300
Transitional Club-AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_03	Transitional Club-AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_03	Healthy	162
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML3	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML3	Healthy	300
Adventitial fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD59	Adventitial fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD59	Fibrotic_ILD	259
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D139	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D139	Healthy	300
Adventitial fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD106	Adventitial fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD106	Healthy	202
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747S6	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747S6	Other	300
Peribronchial fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SCD1	Peribronchial fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SCD1	Fibrotic_ILD	300
AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SSc_1	AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SSc_1	Fibrotic_ILD	164
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0005	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0005	Healthy	279
Pericytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD55	Pericytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD55	Fibrotic_ILD	51
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747138I	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747138I	Fibrotic_ILD	300
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747025I	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747025I	Fibrotic_ILD	300
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747TILD006	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747TILD006	Fibrotic_ILD	285
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD98	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD98	Healthy	236
AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SSc_2	AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SSc_2	Fibrotic_ILD	160
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD70	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD70	Healthy	300
Non-classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD67	Non-classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD67	Healthy	300
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374716E0F2ng	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374716E0F2ng	Healthy	186
Vascular smooth muscle||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747PMB_2	Vascular smooth muscle	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747PMB_2	Other	258
Non-classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SCD2	Non-classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SCD2	Fibrotic_ILD	18
EC venous pulmonary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD55	EC venous pulmonary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD55	Fibrotic_ILD	41
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374749I	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374749I	Fibrotic_ILD	103
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D062	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D062	Healthy	300
AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_2	AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_2	Healthy	300
EC venous pulmonary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Myositis-ILD_01	EC venous pulmonary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Myositis-ILD_01	Fibrotic_ILD	11
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0005	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0005	Healthy	191
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747HP_01	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747HP_01	Fibrotic_ILD	98
EC aerocyte capillary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD59	EC aerocyte capillary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD59	Fibrotic_ILD	168
Non-classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc5103	Non-classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc5103	Healthy	58
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747S4	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747S4	Other	164
EC venous systemic||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837471372C	EC venous systemic	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837471372C	Healthy	16
Non-classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747HP_01	Non-classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747HP_01	Fibrotic_ILD	90
Myofibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Case_1	Myofibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Case_1	Other	18
Transitional Club-AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Myositis-ILD_01	Transitional Club-AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Myositis-ILD_01	Fibrotic_ILD	300
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747LuT_553	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747LuT_553	Healthy	300
Non-classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SSc-ILD_02	Non-classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SSc-ILD_02	Fibrotic_ILD	64
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lambrechts_5	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lambrechts_5	Other	300
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 2	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 2	Healthy	300
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D13	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D13	Other	29
Subpleural fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 1	Subpleural fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 1	Healthy	34
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0007	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0007	Healthy	286
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NU_CZI01	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NU_CZI01	Healthy	300
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747S1	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747S1	Other	300
Non-classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747022I	Non-classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747022I	Fibrotic_ILD	99
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747396C	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747396C	Healthy	39
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747TILD015	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747TILD015	Fibrotic_ILD	300
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Wunderink2021_subject_4	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Wunderink2021_subject_4	Other	115
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747RU679	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747RU679	Other	35
EC venous systemic||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747390C	EC venous systemic	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747390C	Healthy	108
Peribronchial fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747063I	Peribronchial fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747063I	Fibrotic_ILD	100
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747056CO	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747056CO	COPD	22
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D12	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D12	Other	25
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747356C	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747356C	Healthy	87
Mast cells||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0005	Mast cells	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0005	Healthy	300
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A44	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A44	Healthy	297
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A37	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A37	Healthy	300
Non-classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_4	Non-classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_4	Healthy	36
Lymphatic EC||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD67	Lymphatic EC	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD67	Healthy	64
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747S4	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747S4	Other	235
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747390C	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747390C	Healthy	300
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747HC3	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747HC3	Healthy	300
