sample	cell_type	donor_id	disease_group	n_cells
Lymphatic EC||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A26	Lymphatic EC	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A26	Healthy	300
Lymphatic EC||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD59	Lymphatic EC	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD59	Fibrotic_ILD	300
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747166I	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747166I	Fibrotic_ILD	300
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_06	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_06	Healthy	300
Adventitial fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747098C	Adventitial fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747098C	Healthy	158
AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0009	AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0009	Healthy	300
AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD61	AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD61	Fibrotic_ILD	300
AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D062	AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D062	Healthy	300
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D12	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D12	Other	300
AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML3	AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML3	Healthy	300
