ref_pattern	n_seeds	mean_r	min_r
Pattern_1	3	0.968853316184748	0.954979386531161
Pattern_2	3	0.996088210919301	0.990118094905766
Pattern_3	3	0.989365479314852	0.983502437138399
Pattern_4	3	0.987023586253075	0.980637410656682
Pattern_5	3	0.700339288223707	0.402017933656544
