cell_type	emmean	SE	df	asymp.LCL	asymp.UCL	pattern	program
AT1	1.1603676798845	0.046052505200672	Inf	1.07010642829334	1.25062893147567	Pattern_1	Pattern_1 (inflammatory)
AT2	1.63587023904514	0.0430000031150344	Inf	1.55159178160456	1.72014869648572	Pattern_1	Pattern_1 (inflammatory)
Adventitial fibroblasts	1.58229508445615	0.0475438790899238	Inf	1.48911079375457	1.67547937515773	Pattern_1	Pattern_1 (inflammatory)
Alveolar fibroblasts	1.51734249998068	0.0478933002363189	Inf	1.42347335641673	1.61121164354463	Pattern_1	Pattern_1 (inflammatory)
Alveolar macrophages	1.2116726690029	0.040645200518714	Inf	1.13200953984181	1.29133579816399	Pattern_1	Pattern_1 (inflammatory)
Classical monocytes	1.64266138974447	0.0407816711993855	Inf	1.56273078296432	1.72259199652462	Pattern_1	Pattern_1 (inflammatory)
DC2	1.54423497187758	0.0404710790425885	Inf	1.46491311453864	1.62355682921653	Pattern_1	Pattern_1 (inflammatory)
EC aerocyte capillary	1.54560700095768	0.0524591337029309	Inf	1.44278898823976	1.64842501367559	Pattern_1	Pattern_1 (inflammatory)
EC general capillary	1.2737041363812	0.0467859698136831	Inf	1.1820053205646	1.3654029521978	Pattern_1	Pattern_1 (inflammatory)
EC venous pulmonary	1.61994665950256	0.0507061291802219	Inf	1.52056447251389	1.71932884649123	Pattern_1	Pattern_1 (inflammatory)
EC venous systemic	1.70444678023165	0.0478944153714372	Inf	1.61057545104303	1.79831810942027	Pattern_1	Pattern_1 (inflammatory)
Interstitial macrophages	1.60288585653816	0.0405323031513643	Inf	1.52344400215102	1.68232771092529	Pattern_1	Pattern_1 (inflammatory)
Lymphatic EC	1.14415865703937	0.046401760631052	Inf	1.05321287738326	1.23510443669549	Pattern_1	Pattern_1 (inflammatory)
Mast cells	1.86273456437939	0.0448994739300415	Inf	1.77473321255172	1.95073591620707	Pattern_1	Pattern_1 (inflammatory)
Myofibroblasts	1.48202144794706	0.0752675308407699	Inf	1.33449979829389	1.62954309760023	Pattern_1	Pattern_1 (inflammatory)
Non-classical monocytes	1.5282329308374	0.043264187122224	Inf	1.44343668225744	1.61302917941736	Pattern_1	Pattern_1 (inflammatory)
Peribronchial fibroblasts	1.18384745055276	0.0526502816012826	Inf	1.08065479483835	1.28704010626716	Pattern_1	Pattern_1 (inflammatory)
Pericytes	1.06193581683893	0.0547934092882562	Inf	0.95454270804379	1.16932892563408	Pattern_1	Pattern_1 (inflammatory)
Subpleural fibroblasts	2.1433973093329	0.15586516373345	Inf	1.8379072019709	2.4488874166949	Pattern_1	Pattern_1 (inflammatory)
Transitional Club-AT2	1.72236943979002	0.046802536651362	Inf	1.63063815356824	1.81410072601181	Pattern_1	Pattern_1 (inflammatory)
Vascular smooth muscle	1.2921994872436	0.0495505053671595	Inf	1.1950822813082	1.38931669317899	Pattern_1	Pattern_1 (inflammatory)
AT1	0.304562395190939	0.0138527422478837	Inf	0.277411519297971	0.331713271083908	Pattern_2	Pattern_2 (basement_membrane)
AT2	0.607427598394992	0.0127791282256044	Inf	0.582380967318988	0.632474229470996	Pattern_2	Pattern_2 (basement_membrane)
Adventitial fibroblasts	0.315986678652375	0.0143742954024425	Inf	0.287813577360448	0.344159779944302	Pattern_2	Pattern_2 (basement_membrane)
Alveolar fibroblasts	0.382683092418872	0.0144956286203355	Inf	0.354272182389746	0.411094002447998	Pattern_2	Pattern_2 (basement_membrane)
Alveolar macrophages	0.231634548385876	0.0119433207774334	Inf	0.208226069806298	0.255043026965455	Pattern_2	Pattern_2 (basement_membrane)
Classical monocytes	0.201750297424081	0.0119920231823035	Inf	0.178246363884997	0.225254230963165	Pattern_2	Pattern_2 (basement_membrane)
DC2	0.283078830254355	0.0118819872340161	Inf	0.259790563210919	0.306367097297791	Pattern_2	Pattern_2 (basement_membrane)
EC aerocyte capillary	0.124537416707541	0.0160739724954969	Inf	0.0930330095278801	0.156041823887203	Pattern_2	Pattern_2 (basement_membrane)
EC general capillary	0.169059747323379	0.0141090409125073	Inf	0.141406535278462	0.196712959368295	Pattern_2	Pattern_2 (basement_membrane)
EC venous pulmonary	0.255762519652498	0.0154706690808883	Inf	0.22544056543722	0.286084473867776	Pattern_2	Pattern_2 (basement_membrane)
EC venous systemic	0.213325240812918	0.0144928134268274	Inf	0.184919848461678	0.241730633164158	Pattern_2	Pattern_2 (basement_membrane)
Interstitial macrophages	0.250295444104554	0.0119024582939551	Inf	0.226967054520912	0.273623833688196	Pattern_2	Pattern_2 (basement_membrane)
Lymphatic EC	0.208112690420703	0.0139759415317235	Inf	0.180720348368487	0.235505032472918	Pattern_2	Pattern_2 (basement_membrane)
Mast cells	0.196572861214431	0.0134481654965439	Inf	0.17021494118307	0.222930781245791	Pattern_2	Pattern_2 (basement_membrane)
Myofibroblasts	0.1843957661671	0.0237736438227535	Inf	0.13780028049322	0.23099125184098	Pattern_2	Pattern_2 (basement_membrane)
Non-classical monocytes	0.271721850097401	0.0128730855404279	Inf	0.246491066068259	0.296952634126543	Pattern_2	Pattern_2 (basement_membrane)
Peribronchial fibroblasts	0.139707449503409	0.0161361686912264	Inf	0.108081140020142	0.171333758986676	Pattern_2	Pattern_2 (basement_membrane)
Pericytes	0.646799680158373	0.0168739121465335	Inf	0.613727420072875	0.679871940243872	Pattern_2	Pattern_2 (basement_membrane)
Subpleural fibroblasts	0.241582615566211	0.0502685562366715	Inf	0.143058055787509	0.340107175344914	Pattern_2	Pattern_2 (basement_membrane)
Transitional Club-AT2	0.467357479801948	0.0141155202805549	Inf	0.439691568429016	0.495023391174881	Pattern_2	Pattern_2 (basement_membrane)
Vascular smooth muscle	0.241182933465918	0.0150704497346527	Inf	0.211645394755177	0.270720472176658	Pattern_2	Pattern_2 (basement_membrane)
AT1	0.390885110743752	0.0293866404615305	Inf	0.333288353812525	0.44848186767498	Pattern_3	Pattern_3 (inflammatory)
AT2	0.435223649835844	0.0267616962587629	Inf	0.382771689003468	0.487675610668219	Pattern_3	Pattern_3 (inflammatory)
Adventitial fibroblasts	1.11971609629352	0.0306548104697059	Inf	1.05963377181999	1.17979842076704	Pattern_3	Pattern_3 (inflammatory)
Alveolar fibroblasts	0.793215349964811	0.0309473668718512	Inf	0.732559625479634	0.853871074449987	Pattern_3	Pattern_3 (inflammatory)
Alveolar macrophages	0.310828405264245	0.0246992629989976	Inf	0.262418739341527	0.359238071186963	Pattern_3	Pattern_3 (inflammatory)
Classical monocytes	0.360764623902493	0.0248201916752035	Inf	0.312117942129714	0.409411305675273	Pattern_3	Pattern_3 (inflammatory)
DC2	0.226527766071464	0.0245495719805164	Inf	0.178411489153778	0.27464404298915	Pattern_3	Pattern_3 (inflammatory)
EC aerocyte capillary	0.735766874473393	0.0347394440046021	Inf	0.667678815381427	0.803854933565359	Pattern_3	Pattern_3 (inflammatory)
EC general capillary	1.27881943889935	0.0300090527551189	Inf	1.22000277628915	1.33763610150954	Pattern_3	Pattern_3 (inflammatory)
EC venous pulmonary	1.42435046667108	0.0332967085823259	Inf	1.359090117046	1.48961081629617	Pattern_3	Pattern_3 (inflammatory)
EC venous systemic	0.802119112894153	0.0309313169487621	Inf	0.741494845680186	0.86274338010812	Pattern_3	Pattern_3 (inflammatory)
Interstitial macrophages	0.232245306492768	0.0245961080031894	Inf	0.184037820646659	0.280452792338876	Pattern_3	Pattern_3 (inflammatory)
Lymphatic EC	0.738527622326381	0.0296892461681643	Inf	0.680337769108635	0.796717475544127	Pattern_3	Pattern_3 (inflammatory)
Mast cells	0.306756018895282	0.0283999907264043	Inf	0.251093059910258	0.362418977880306	Pattern_3	Pattern_3 (inflammatory)
Myofibroblasts	1.24388677039303	0.0528304577267781	Inf	1.14034097596178	1.34743256482428	Pattern_3	Pattern_3 (inflammatory)
Non-classical monocytes	0.412584491792288	0.0269944103646668	Inf	0.359676419693646	0.46549256389093	Pattern_3	Pattern_3 (inflammatory)
Peribronchial fibroblasts	0.532811198168483	0.034877195213085	Inf	0.464453151669063	0.601169244667902	Pattern_3	Pattern_3 (inflammatory)
Pericytes	0.861119855394537	0.0366448543160594	Inf	0.789297260716344	0.932942450072731	Pattern_3	Pattern_3 (inflammatory)
Subpleural fibroblasts	1.69369677119937	0.113662590186422	Inf	1.47092218804445	1.91647135435429	Pattern_3	Pattern_3 (inflammatory)
Transitional Club-AT2	0.530464582392613	0.0300269001239569	Inf	0.471612939582276	0.589316225202949	Pattern_3	Pattern_3 (inflammatory)
Vascular smooth muscle	1.38415525917173	0.0323328032669414	Inf	1.3207841292493	1.44752638909415	Pattern_3	Pattern_3 (inflammatory)
AT1	0.896897198483188	0.0330792751187619	Inf	0.832063010615722	0.961731386350653	Pattern_4	Pattern_4 (fibroblast_like)
AT2	0.872070066289192	0.0317005230809258	Inf	0.809938182759496	0.934201949818887	Pattern_4	Pattern_4 (fibroblast_like)
Adventitial fibroblasts	0.783877611589143	0.0337622079352487	Inf	0.717704899997503	0.850050323180783	Pattern_4	Pattern_4 (fibroblast_like)
Alveolar fibroblasts	0.750247364873076	0.0339244169963849	Inf	0.683756729363643	0.816738000382509	Pattern_4	Pattern_4 (fibroblast_like)
Alveolar macrophages	0.98796886718706	0.0306583758277348	Inf	0.927879554740207	1.04805817963391	Pattern_4	Pattern_4 (fibroblast_like)
Classical monocytes	1.02007325919187	0.0307181363472439	Inf	0.959866818279082	1.08027970010466	Pattern_4	Pattern_4 (fibroblast_like)
DC2	0.941930313039648	0.0305805044056588	Inf	0.881993625775488	1.00186700030381	Pattern_4	Pattern_4 (fibroblast_like)
EC aerocyte capillary	0.858895247030437	0.0360712255731788	Inf	0.788196944028786	0.929593550032087	Pattern_4	Pattern_4 (fibroblast_like)
EC general capillary	0.901904923368335	0.0334153969521189	Inf	0.836411948813073	0.967397897923598	Pattern_4	Pattern_4 (fibroblast_like)
