cell_type	Pattern_1	Pattern_2	Pattern_3	Pattern_4	Pattern_5	Pattern_6	Pattern_7	Pattern_8	Pattern_9
AT1	0.18441164195771	0.829935648713456	1.06111924316242	0.92069561416793	-0.292905039878059	-0.34549311669701	0.969778894108057	0.0607179256707603	0.230414441922668
AT2	0.418340001958202	0.973834644127981	1.64069352779829	0.982648702169203	-0.946843234122022	-0.0799243111245118	0.930612928250422	-0.0998817794505792	-0.0791874454142724
Adventitial fibroblasts	0.15205028122632	1.4754782969487	1.64311041191235	1.07886752821622	-0.864549513562132	1.30542872283884	0.795450179943701	0.224112564658187	0.481988684275548
Alveolar fibroblasts	0.241370348242532	1.07605250429644	1.49496393453281	1.04783544412257	-0.434443355664141	0.90750171619411	0.743919772562235	0.296966908069539	0.735749380026777
Alveolar macrophages	-0.00015447461262889	0.959291671277809	1.07185412360959	1.19949590060423	-1.04647696940117	-0.122690340531296	1.03887691863817	0.343768699571638	-0.0716429081371025
Classical monocytes	-0.0123152169505844	0.908392212508696	1.64229733876971	0.89901243555561	-1.03403331524675	-0.173327116944821	1.07835136886575	0.26647947628826	-0.0364702750676076
DC2	0.0325793034517858	0.839063489600605	1.54781668581347	1.04870247414786	-1.04843719809918	-0.112088643588787	1.05010938847166	0.252291623515263	-0.14751078989511
EC aerocyte capillary	-0.0309588662897859	1.22158885630335	1.5395321399397	0.941205760294036	-0.566990895285676	-0.408264707890169	0.928491644127737	0.0328764159284354	0.463650272854757
EC general capillary	0.0375788569135363	1.75851462193633	1.21387290538229	0.899680083460711	-0.519407784378773	-0.31629502923166	0.989959992657598	-0.152657538230157	0.420276433865628
EC venous pulmonary	0.0518020663709094	1.93000822925853	1.81489564613644	1.03703398259494	-0.519577029177865	0.654048090410506	0.87857033279129	-0.207486566636776	0.0223580112246884
EC venous systemic	-0.00168254258703311	1.24614797081991	1.87191595291472	1.05628861270343	-0.56414812835092	0.605595409470858	0.986213466147979	-0.090323277389442	0.187929649617126
Interstitial macrophages	0.00501448350656383	0.872936318874599	1.54274618417165	1.15629171431249	-1.13376353484059	-0.107736294630961	1.07397576122223	0.303197092265162	-0.0839073691466457
Lymphatic EC	0.0692039023471434	1.13171271346938	1.09454331020801	0.957796413541971	-0.82322166593274	0.292369966333392	0.960996902316577	0.00437433714507606	0.483296414976347
Mast cells	-0.0208286850203089	0.774548717600867	1.95848119194634	0.830715951294944	-0.983340975951475	-0.0595521997252905	1.19166087968428	0.257546814969659	-0.10001486372524
Myofibroblasts	0.022418111184969	1.55385401061018	1.79851402170495	0.90521190875227	1.02730013914024	0.958367058308456	0.609635702992566	0.233919643867415	0.471494050248222
Non-classical monocytes	0.062418338025206	1.04979709886202	1.57522199874824	1.01636541937671	-1.09055568568733	-0.169534379586214	1.13515701424533	0.302392166343353	-0.0751730408931273
Peribronchial fibroblasts	-0.0668930453443519	0.644133714359464	1.22292467935708	1.03665873888084	-0.129848027900322	1.68989855941686	0.9323175293561	0.398193002922643	0.556284717669801
Pericytes	0.643798026084937	0.812206707756999	1.08631171832224	0.572629301812549	0.863220110154472	0.846362789343967	1.25586770719444	1.0508390432972	0.854491490312464
Subpleural fibroblasts	-0.0787200410779977	2.35808560229677	2.58524645878573	1.27556883919324	-0.711561229389982	1.48835613602746	0.863355528025743	0.207222544036503	-0.263421632231948
Transitional Club-AT2	0.270470332219339	1.09069806276475	1.8971216885604	0.999522079765988	-0.915799231638651	0.282712068528487	0.951127214551301	-0.0259959822867495	-0.118857885195707
Vascular smooth muscle	0.193360214320267	1.32845341880389	1.30716182757255	0.576432863577877	1.97757266793269	1.31589643818373	0.672660136285899	0.372109781044711	0.256245947062186
