ref_pattern	match_pattern	r	target_np
Pattern_1	Pattern_5	0.902082074036487	7
Pattern_2	Pattern_3	0.951197461952354	7
Pattern_3	Pattern_2	0.965922561395688	7
Pattern_4	Pattern_1	0.961552259311809	7
Pattern_5	Pattern_4	0.964000456652094	7
Pattern_1	Pattern_5	0.827239718257455	9
Pattern_2	Pattern_9	0.952417963476607	9
Pattern_3	Pattern_7	0.885037993904268	9
Pattern_4	Pattern_8	0.892065729521324	9
Pattern_5	Pattern_3	0.846120179279285	9
