ref_pattern	match_pattern	r	seed
Pattern_1	Pattern_1	0.954979386531161	1
Pattern_2	Pattern_3	0.990118094905766	1
Pattern_3	Pattern_4	0.983502437138399	1
Pattern_4	Pattern_2	0.980637410656682	1
Pattern_5			1
Pattern_1	Pattern_2	0.957389942092606	42
Pattern_2	Pattern_4	0.999151408687651	42
Pattern_3	Pattern_3	0.988789755883415	42
Pattern_4	Pattern_1	0.99008164617399	42
Pattern_5	Pattern_5	0.402017933656544	42
Pattern_1	Pattern_3	0.994190619930476	2024
Pattern_2	Pattern_1	0.998995129164486	2024
Pattern_3	Pattern_4	0.995804244922741	2024
Pattern_4	Pattern_2	0.990351701928554	2024
Pattern_5	Pattern_5	0.998660642790871	2024
