pattern	program	cell_type	term	estimate	se	p	n
Pattern_2	Pattern_2 (inflammatory)	AT1	disease_groupFibrotic_ILD	0.207249730895489	0.207397205994525	0.319100476366842	171
Pattern_2	Pattern_2 (inflammatory)	AT1	disease_groupHealthy	-0.13471876018569	0.180832514947839	0.457323767323081	171
Pattern_2	Pattern_2 (inflammatory)	AT1	disease_groupOther	-0.544365437827056	0.208702972551577	0.00992354984107744	171
Pattern_2	Pattern_2 (inflammatory)	AT2	disease_groupFibrotic_ILD	0.262253558922066	0.22867702090655	0.252633454306586	236
Pattern_2	Pattern_2 (inflammatory)	AT2	disease_groupHealthy	0.158249773384579	0.214632142607951	0.461680713901683	236
Pattern_2	Pattern_2 (inflammatory)	AT2	disease_groupOther	-0.444778817130925	0.239075615456241	0.0640928175496182	236
Pattern_2	Pattern_2 (inflammatory)	Adventitial fibroblasts	disease_groupFibrotic_ILD	-0.218338302058496	0.297005265784212	0.463445981042447	149
Pattern_2	Pattern_2 (inflammatory)	Adventitial fibroblasts	disease_groupHealthy	-0.493716144775841	0.285496718098566	0.0858794145497731	149
Pattern_2	Pattern_2 (inflammatory)	Adventitial fibroblasts	disease_groupOther	-1.33346871913218	0.318415558293494	4.86688639122121e-05	149
Pattern_2	Pattern_2 (inflammatory)	Alveolar fibroblasts	disease_groupFibrotic_ILD	0.0181499484085179	0.358020108031884	0.959640041789612	145
Pattern_2	Pattern_2 (inflammatory)	Alveolar fibroblasts	disease_groupHealthy	-0.673134262426857	0.331196510923904	0.0439873007608507	145
Pattern_2	Pattern_2 (inflammatory)	Alveolar fibroblasts	disease_groupOther	-1.20824595474339	0.364320065466479	0.00115960580838535	145
Pattern_2	Pattern_2 (inflammatory)	Alveolar macrophages	disease_groupFibrotic_ILD	0.22526209570889	0.147064494105151	0.126600818115927	317
Pattern_2	Pattern_2 (inflammatory)	Alveolar macrophages	disease_groupHealthy	-0.0804909715514902	0.138705694168272	0.562129573598778	317
