ABCA1
ABCA7
ABCC9
ABHD15
ABLIM1
ACAN
ACBD3-AS1
ACKR1
ACSL1
ACSL6
ACTA2
ACTMAP
ACTN2
ADAM33
ADAM8
ADAMTS1
ADAMTS4
ADAMTS5
ADAMTS9
ADAMTS9-AS2
ADAMTSL1
ADAMTSL2
ADARB2
ADAT2
ADCK5
ADCY1
ADGRA2
ADGRB3
ADGRE2
ADGRL3
ADH1B
ADH4
ADIRF
ADRA2B
AFF2
AFTPH-DT
AGAP1
AGAP2
AGAP6
AGRN
AGRP
AGTR1
AHNAK
AHNAK2
AHSP
AIF1
AK7
AK9
AKAP12
AKR1C2
AKT3
ALAS1
ALDH1A1
ALDH1A3
ALDH3B1
ALOX15
ALOX15B
ALOX5AP
ALPK1
AMT
ANGPT1
ANK2
ANKRD29
ANKRD36
ANKRD36C
ANKRD50
ANKRD52
ANKRD62
ANXA1
ANXA2R-AS1
AOC2
AP3D1
APBB2
APEH
APOBEC3A
APOC1
APOD
APOE
APOL2
APOL3
APOL4
APOL6
ARAP1
ARAP3
AREG
ARFGAP1
ARHGAP11A
ARHGAP19
ARHGAP21
ARHGAP24
ARHGAP25
ARHGAP26
ARHGAP30
ARHGAP5
ARHGAP9
ARHGEF40
ARID1B
ARL14EP
ARL9
ARLNC1
ARMH1
ARRDC3
ARRDC4
ARSF
ARTN
ASPA
ASPN
ASTN1
ATAD3B
ATF3
ATP13A1
ATP1B2
ATP5F1EP2
ATP5ME
ATP6V0C
ATP6V1C2
ATP8B1
ATP8B2
AURKA
AURKC
AUTS2
AVPR1A
AXDND1
AZGP1
AZIN1
B3GAT1
B3GNT7
B4GAT1-DT
BACE1
BACH2
BAHCC1
BAZ1B
BBC3
BBOX1-AS1
BBS5
BCAN-AS1
BCAS1
BCAS3
BCL2
BCL2A1
BCL2L2
BCL6
BDKRB1
BDP1
BEND6
BEST1
BEX2
BHLHE40
BICC1
BICD2
BIN2
BIRC3
BMF
BMP3
BOD1L1
BRCA2
BRD8
BST2
BTBD2
BTBD9
BTG2
BTN3A2
C11orf54
C11orf68
C11orf96
C1QA
C1QB
C1QC
C1QTNF12
C1QTNF3
C1QTNF5
C1orf115
C1orf116
C1orf131
C1orf162
C1orf35
C1orf56
C2CD4C
C2CD5
C3
C3AR1
C6orf118
C6orf163
C7
C9orf43
C9orf78
CA12
CA3-AS1
CACNA1C
CACNA1D
CACNA1H
CACNA2D1
CACNA2D2
CACNB2
CADM3
CALB1
CALM2
CALML4
CAMK1D
