pattern	program	cell_type	term	estimate	se	p	n	reference_group	n_tests	p_BH	p_BH_all
Pattern_4	Pattern_4 (fibroblast_like)	Classical monocytes	disease_groupOther	-0.682113329264065	0.0701299155268624	1.14912824428212e-19	311	Healthy	228	2.29825648856424e-18	2.62001239696323e-17
Pattern_4	Pattern_4 (fibroblast_like)	Interstitial macrophages	disease_groupOther	-0.433835765201665	0.069756476087782	1.56490341911655e-09	323	Healthy	228	1.0432689460777e-08	1.18932659852858e-07
Pattern_4	Pattern_4 (fibroblast_like)	Mast cells	disease_groupOther	-0.653461964944313	0.102531141623701	1.40562333745096e-09	191	Healthy	228	1.0432689460777e-08	1.18932659852858e-07
Pattern_4	Pattern_4 (fibroblast_like)	Non-classical monocytes	disease_groupOther	-0.512321562329638	0.0840082222746549	4.64614903869384e-09	228	Healthy	228	2.32307451934692e-08	2.64830495205549e-07
Pattern_6	Pattern_6 (fibroblast_like)	Pericytes	disease_groupFibrotic_ILD	0.815526161864164	0.126858516123167	7.17017265921791e-09	89	Healthy	228	1.43403453184358e-07	3.26959873260337e-07
Pattern_4	Pattern_4 (fibroblast_like)	DC2	disease_groupOther	-0.395893758950463	0.0703347275489362	3.98013507045113e-08	323	Healthy	228	1.59205402818045e-07	1.13433849507857e-06
Pattern_1	Pattern_1 (inflammatory)	Alveolar macrophages	disease_groupOther	-0.486296523646936	0.0823694775057826	9.23780224799449e-09	317	Healthy	228	1.8475604495989e-07	3.51036485423791e-07
Pattern_6	Pattern_6 (fibroblast_like)	Classical monocytes	disease_groupOther	-0.285415946763971	0.0486740363541777	1.16824911158198e-08	311	Healthy	228	2.33649822316396e-07	3.80515424915273e-07
Pattern_3	Pattern_3 (inflammatory)	Classical monocytes	disease_groupFibrotic_ILD	0.222739999591657	0.0411699630962216	1.2688793997145e-07	311	Healthy	228	1.2688793997145e-06	2.89304503134906e-06
Pattern_3	Pattern_3 (inflammatory)	Pericytes	disease_groupFibrotic_ILD	1.01774774831124	0.172796747388989	7.51927660677866e-08	89	Healthy	228	1.2688793997145e-06	1.90488340705059e-06
Pattern_6	Pattern_6 (fibroblast_like)	Alveolar macrophages	disease_groupOther	-0.307956256924648	0.0576828936944791	1.80134516875058e-07	317	Healthy	228	1.80134516875058e-06	3.73369725886485e-06
Pattern_4	Pattern_4 (fibroblast_like)	Lymphatic EC	disease_groupOther	-0.59863154054687	0.11567503946743	6.70448144471134e-07	165	Healthy	228	2.23482714823711e-06	1.17586289953399e-05
Pattern_3	Pattern_3 (inflammatory)	Classical monocytes	disease_groupCOPD	0.382583097755192	0.0719417759526462	2.0249034808165e-07	311	Healthy	228	3.44233591738805e-06	3.84731661355135e-06
Pattern_4	Pattern_4 (fibroblast_like)	EC general capillary	disease_groupOther	-0.64680200332029	0.13061231802634	1.88936108763356e-06	160	Healthy	228	5.39817453609587e-06	2.871828853203e-05
Pattern_6	Pattern_6 (fibroblast_like)	EC general capillary	disease_groupOther	-0.367307953738587	0.07180751459355	9.08696977423694e-07	160	Healthy	228	6.05797984949129e-06	1.47987793466144e-05
Pattern_4	Pattern_4 (fibroblast_like)	Adventitial fibroblasts	disease_groupOther	-0.439081853891674	0.0910445007064959	3.54184153917368e-06	149	Healthy	228	8.85460384793421e-06	4.48633261628667e-05
Pattern_4	Pattern_4 (fibroblast_like)	EC aerocyte capillary	disease_groupOther	-0.708437858380623	0.148238058144692	6.12399520870135e-06	103	Healthy	228	1.36088782415586e-05	6.07074307645177e-05
Pattern_4	Pattern_4 (fibroblast_like)	Alveolar fibroblasts	disease_groupOther	-0.642878450497457	0.13982991872917	9.41382826891781e-06	145	Healthy	228	1.88276565378356e-05	8.58541138125304e-05
Pattern_3	Pattern_3 (inflammatory)	DC2	disease_groupCOPD	0.287350391128236	0.0599406806790555	2.51245372449879e-06	323	Healthy	228	2.13558566582398e-05	3.58024655741078e-05
Pattern_1	Pattern_1 (inflammatory)	AT2	disease_groupOther	-0.702582993999378	0.147516802672473	3.36585168689374e-06	236	Healthy	228	2.68263690457833e-05	4.48633261628667e-05
Pattern_1	Pattern_1 (inflammatory)	Adventitial fibroblasts	disease_groupOther	-0.837565979328316	0.175245697900519	4.26869467720849e-06	149	Healthy	228	2.68263690457833e-05	5.12243361265019e-05
Pattern_1	Pattern_1 (inflammatory)	Interstitial macrophages	disease_groupOther	-0.423113731463168	0.0914143573478601	5.36527380915666e-06	323	Healthy	228	2.68263690457833e-05	5.56037467494417e-05
Pattern_1	Pattern_1 (inflammatory)	Non-classical monocytes	disease_groupOther	-0.594093932606313	0.129337856535398	7.27751710864913e-06	228	Healthy	228	2.91100684345965e-05	6.91364125321667e-05
Pattern_3	Pattern_3 (inflammatory)	DC2	disease_groupFibrotic_ILD	0.149078513497923	0.0321518647748199	5.17042278861454e-06	323	Healthy	228	3.44694852574303e-05	5.56037467494417e-05
Pattern_6	Pattern_6 (fibroblast_like)	Alveolar fibroblasts	disease_groupFibrotic_ILD	0.527346669753539	0.110880032012872	4.82560312642376e-06	145	Healthy	228	4.82560312642376e-05	5.50118756412309e-05
