cell_type	emmean	SE	df	asymp.LCL	asymp.UCL	pattern	program
AT1	0.127457237100025	0.0128825731374999	Inf	0.102207857722322	0.152706616477728	Pattern_1	Pattern_1 (basement_membrane)
AT2	0.390952256351246	0.0118461510032366	Inf	0.367734227029479	0.414170285673012	Pattern_1	Pattern_1 (basement_membrane)
Adventitial fibroblasts	0.106610404421754	0.0133853399825075	Inf	0.0803756201352149	0.132845188708292	Pattern_1	Pattern_1 (basement_membrane)
Alveolar fibroblasts	0.190837423967633	0.0135020698011897	Inf	0.164373853440555	0.21730099449471	Pattern_1	Pattern_1 (basement_membrane)
Alveolar macrophages	-0.0218033376079739	0.0110374007535799	Inf	-0.0434362455679258	-0.000170429648022059	Pattern_1	Pattern_1 (basement_membrane)
Classical monocytes	-0.0111076434086867	0.0110845973946658	Inf	-0.0328330550853582	0.0106177682679847	Pattern_1	Pattern_1 (basement_membrane)
DC2	0.053774607825073	0.0109781959811155	Inf	0.0322577390868643	0.0752914765632816	Pattern_1	Pattern_1 (basement_membrane)
EC aerocyte capillary	-0.0597654693714132	0.0150189918332808	Inf	-0.0892021524487448	-0.0303287862940816	Pattern_1	Pattern_1 (basement_membrane)
EC general capillary	-0.0111870669668338	0.0131295734742826	Inf	-0.0369205581088001	0.0145464241751326	Pattern_1	Pattern_1 (basement_membrane)
EC venous pulmonary	0.0741598741282617	0.014439838973677	Inf	0.0458583097972969	0.102461438459226	Pattern_1	Pattern_1 (basement_membrane)
EC venous systemic	0.0199727396695808	0.0134984856415882	Inf	-0.00648380603376312	0.0464292853729247	Pattern_1	Pattern_1 (basement_membrane)
Interstitial macrophages	0.00140422662335302	0.0109976444881416	Inf	-0.0201507604881799	0.022959213734886	Pattern_1	Pattern_1 (basement_membrane)
Lymphatic EC	0.0159577108836113	0.0130016222686084	Inf	-0.00952500050345509	0.0414404222706777	Pattern_1	Pattern_1 (basement_membrane)
Mast cells	0.00208207376345765	0.0124922573532422	Inf	-0.0224023007345027	0.026566448261418	Pattern_1	Pattern_1 (basement_membrane)
Myofibroblasts	0.0612553715286665	0.0223762082334495	Inf	0.0173988092805369	0.105111933776796	Pattern_1	Pattern_1 (basement_membrane)
Non-classical monocytes	0.0462369254393793	0.0119371350007619	Inf	0.0228405707592934	0.0696332801194651	Pattern_1	Pattern_1 (basement_membrane)
Peribronchial fibroblasts	-0.0369033083891472	0.0150776829158976	Inf	-0.0664550238746214	-0.00735159290367307	Pattern_1	Pattern_1 (basement_membrane)
Pericytes	0.611796015744437	0.0157861129167887	Inf	0.580855802971649	0.642736228517225	Pattern_1	Pattern_1 (basement_membrane)
Subpleural fibroblasts	0.00541551204583968	0.0475370307826821	Inf	-0.087755356220189	0.0985863803118684	Pattern_1	Pattern_1 (basement_membrane)
Transitional Club-AT2	0.263564771117623	0.0131360119323027	Inf	0.237818660829822	0.289310881405425	Pattern_1	Pattern_1 (basement_membrane)
Vascular smooth muscle	0.21672912138256	0.0140549813846499	Inf	0.189181864065265	0.244276378699855	Pattern_1	Pattern_1 (basement_membrane)
AT1	0.865805004456292	0.0321024596066536	Inf	0.802885339812099	0.928724669100485	Pattern_2	Pattern_2 (inflammatory)
AT2	0.950032027555024	0.0292283789764833	Inf	0.892745457434629	1.00731859767542	Pattern_2	Pattern_2 (inflammatory)
Adventitial fibroblasts	1.43183171860072	0.0334908686188492	Inf	1.36619082229682	1.49747261490463	Pattern_2	Pattern_2 (inflammatory)
Alveolar fibroblasts	1.11634135351736	0.0338111133519702	Inf	1.0500727890703	1.18260991796442	Pattern_2	Pattern_2 (inflammatory)
Alveolar macrophages	0.934199338795798	0.0269698511924891	Inf	0.881339401790115	0.987059275801482	Pattern_2	Pattern_2 (inflammatory)
Classical monocytes	0.86688300661615	0.0271022925713898	Inf	0.813763489277759	0.920002523954542	Pattern_2	Pattern_2 (inflammatory)
DC2	0.785315366422567	0.0268059642912005	Inf	0.732776641840948	0.837854091004187	Pattern_2	Pattern_2 (inflammatory)
EC aerocyte capillary	1.24672910472032	0.0379618774286002	Inf	1.17232519217474	1.3211330172659	Pattern_2	Pattern_2 (inflammatory)
EC general capillary	1.78496443469533	0.0327838667450878	Inf	1.720709236601	1.84921963278966	Pattern_2	Pattern_2 (inflammatory)
EC venous pulmonary	1.78684973425439	0.0363828035576652	Inf	1.71554074962478	1.85815871888401	Pattern_2	Pattern_2 (inflammatory)
EC venous systemic	1.19377274167048	0.0337933570840631	Inf	1.12753897886901	1.26000650447194	Pattern_2	Pattern_2 (inflammatory)
Interstitial macrophages	0.834494183830017	0.0268568415143221	Inf	0.781855741723446	0.887132625936589	Pattern_2	Pattern_2 (inflammatory)
Lymphatic EC	1.12314431910516	0.0324338174580341	Inf	1.05957520500626	1.18671343320405	Pattern_2	Pattern_2 (inflammatory)
Mast cells	0.750119735676615	0.0310222146044647	Inf	0.689317312331191	0.810922159022038	Pattern_2	Pattern_2 (inflammatory)
Myofibroblasts	1.503448777352	0.0577569002338303	Inf	1.39024733303502	1.61665022166898	Pattern_2	Pattern_2 (inflammatory)
Non-classical monocytes	0.959430135089668	0.0294832404634095	Inf	0.901644045633852	1.01721622454549	Pattern_2	Pattern_2 (inflammatory)
Peribronchial fibroblasts	0.71542012278082	0.0381124151062571	Inf	0.640721161808716	0.790119083752924	Pattern_2	Pattern_2 (inflammatory)
Pericytes	0.92930695392154	0.0400472163015665	Inf	0.850815852289384	1.0077980555537	Pattern_2	Pattern_2 (inflammatory)
Subpleural fibroblasts	2.16245214175151	0.124294752341968	Inf	1.91883890369393	2.40606537980909	Pattern_2	Pattern_2 (inflammatory)
Transitional Club-AT2	0.967795826550114	0.0328034499228194	Inf	0.903502246132725	1.0320894069675	Pattern_2	Pattern_2 (inflammatory)
Vascular smooth muscle	1.35918404789195	0.0353276732612626	Inf	1.28994308064228	1.42842501514162	Pattern_2	Pattern_2 (inflammatory)
AT1	1.0577767336111	0.0458972312354197	Inf	0.967819813399573	1.14773365382263	Pattern_3	Pattern_3 (inflammatory)
AT2	1.54706543683914	0.0428531887781149	Inf	1.46307473021134	1.63105614346694	Pattern_3	Pattern_3 (inflammatory)
Adventitial fibroblasts	1.51783664370332	0.0473844406950329	Inf	1.42496484651348	1.61070844089316	Pattern_3	Pattern_3 (inflammatory)
Alveolar fibroblasts	1.44392272612379	0.0477328777535365	Inf	1.3503680048484	1.53747744739917	Pattern_3	Pattern_3 (inflammatory)
Alveolar macrophages	1.10219673070204	0.0405048351477256	Inf	1.02280871261276	1.18158474879131	Pattern_3	Pattern_3 (inflammatory)
Classical monocytes	1.57002379826879	0.0406409346139161	Inf	1.49036903012746	1.64967856641011	Pattern_3	Pattern_3 (inflammatory)
DC2	1.45957952912442	0.0403311945606079	Inf	1.38053184033215	1.53862721791669	Pattern_3	Pattern_3 (inflammatory)
EC aerocyte capillary	1.4463908805309	0.0522857721451977	Inf	1.34391265022244	1.54886911083935	Pattern_3	Pattern_3 (inflammatory)
EC general capillary	1.173856905688	0.0466286461208797	Inf	1.08246643864321	1.26524737273278	Pattern_3	Pattern_3 (inflammatory)
EC venous pulmonary	1.51117935292151	0.0505377632958261	Inf	1.41212715700248	1.61023154884054	Pattern_3	Pattern_3 (inflammatory)
EC venous systemic	1.60593263748115	0.0477339589728162	Inf	1.51237579705492	1.69948947790739	Pattern_3	Pattern_3 (inflammatory)
Interstitial macrophages	1.50354849147187	0.0403922395044146	Inf	1.4243811567883	1.58271582615544	Pattern_3	Pattern_3 (inflammatory)
Lymphatic EC	1.05278246870616	0.0462455216355459	Inf	0.962142911854227	1.1434220255581	Pattern_3	Pattern_3 (inflammatory)
Mast cells	1.80196140618124	0.0447474051645828	Inf	1.71425810365704	1.88966470870545	Pattern_3	Pattern_3 (inflammatory)
Myofibroblasts	1.40208148668934	0.0750274980003084	Inf	1.25503029275859	1.5491326806201	Pattern_3	Pattern_3 (inflammatory)
Non-classical monocytes	1.44743666088223	0.0431166506207136	Inf	1.36292957853164	1.53194374323283	Pattern_3	Pattern_3 (inflammatory)
Peribronchial fibroblasts	1.12357292537431	0.0524763414413507	Inf	1.02072118610884	1.22642466463979	Pattern_3	Pattern_3 (inflammatory)
Pericytes	1.01468771159694	0.054613358282855	Inf	0.907647496287767	1.12172792690612	Pattern_3	Pattern_3 (inflammatory)
Subpleural fibroblasts	2.06511791323207	0.155381136890684	Inf	1.76057648104944	2.3696593454147	Pattern_3	Pattern_3 (inflammatory)
Transitional Club-AT2	1.63275681845891	0.0466451731341306	Inf	1.54133395906337	1.72417967785444	Pattern_3	Pattern_3 (inflammatory)
Vascular smooth muscle	1.22344723601212	0.0493854075677522	Inf	1.1266536158175	1.32024085620675	Pattern_3	Pattern_3 (inflammatory)
AT1	0.911081598920881	0.014512929751165	Inf	0.882636779298437	0.939526418543324	Pattern_4	Pattern_4 (basement_membrane)
AT2	0.950558377061491	0.0135719482294476	Inf	0.923957847331732	0.97715890679125	Pattern_4	Pattern_4 (basement_membrane)
Adventitial fibroblasts	1.06539425312383	0.0149730206968525	Inf	1.03604767181823	1.09474083442944	Pattern_4	Pattern_4 (basement_membrane)
Alveolar fibroblasts	1.02470271453096	0.0150809110234143	Inf	0.995144672071014	1.0542607569909	Pattern_4	Pattern_4 (basement_membrane)
Alveolar macrophages	1.18841440708019	0.0128469065982479	Inf	1.16323493283488	1.21359388132551	Pattern_4	Pattern_4 (basement_membrane)
Classical monocytes	0.888672096206715	0.0128888976658846	Inf	0.863410320981159	0.913933871432271	Pattern_4	Pattern_4 (basement_membrane)
DC2	1.01916147577354	0.0127932505367981	Inf	0.994087165476217	1.04423578607086	Pattern_4	Pattern_4 (basement_membrane)
EC aerocyte capillary	0.906110156346384	0.0164916069601312	Inf	0.873787200657337	0.938433112035431	Pattern_4	Pattern_4 (basement_membrane)
EC general capillary	0.894173566727859	0.0147392224283509	Inf	0.865285221608166	0.923061911847552	Pattern_4	Pattern_4 (basement_membrane)
EC venous pulmonary	0.957776664290709	0.0159496718585743	Inf	0.926515881882671	0.989037446698746	Pattern_4	Pattern_4 (basement_membrane)
EC venous systemic	1.02534812883078	0.0150815976623817	Inf	0.995788740583192	1.05490751707838	Pattern_4	Pattern_4 (basement_membrane)
