,Rm Air,Rm Air,Rm Air,Rm Air,Rm Air,CS,CS,CS,CS,CS
AT1,1,1.03,0.8,0.98,1.25,0.46,0.81,1.03,0.89,
AT2,1.13,1.1,0.82,0.91,1.07,1.73,1.58,1.65,,
