gene	block	block_type	block_rank	pericyte_state	mean_expr	frac_expr
MIF	inflammatory	curated	2	1	0.06960326	0.02534435261707989
MIF	inflammatory	curated	2	2	0.67258155	0.24713467048710602
MIF	inflammatory	curated	2	3	0.32059565	0.14660831509846828
MIF	inflammatory	curated	2	4	0.3585309	0.13636363636363635
MIF	inflammatory	curated	2	5	0.16455723	0.061946902654867256
IL6	inflammatory	curated	3	0	0.32981902	0.1502387448840382
IL6	inflammatory	curated	3	1	0.04232453	0.015702479338842976
IL6	inflammatory	curated	3	2	0.15720922	0.05873925501432665
IL6	inflammatory	curated	3	3	0.056417022	0.028446389496717725
IL6	inflammatory	curated	3	4	0.38383353	0.1318181818181818
IL6	inflammatory	curated	3	5	0.08843528	0.035398230088495575
CCL2	inflammatory	curated	4	0	0.23726526	0.11562073669849932
CCL2	inflammatory	curated	4	1	0.08142147	0.03333333333333333
CCL2	inflammatory	curated	4	2	0.19855405	0.07449856733524356
CCL2	inflammatory	curated	4	3	0.10454878	0.0525164113785558
CCL2	inflammatory	curated	4	4	0.43409303	0.1590909090909091
CCL2	inflammatory	curated	4	5	0.10749937	0.05309734513274336
MYL9	synthetic_contractile	curated	1	0	2.5687437	0.970156889495225
MYL9	synthetic_contractile	curated	1	1	1.0470951	0.44104683195592287
MYL9	synthetic_contractile	curated	1	2	2.4029465	0.8223495702005731
MYL9	synthetic_contractile	curated	1	3	2.128992	0.8818380743982495
MYL9	synthetic_contractile	curated	1	4	1.565903	0.5772727272727273
MYL9	synthetic_contractile	curated	1	5	1.6000984	0.6991150442477876
VIM	synthetic_contractile	curated	2	0	2.5068207	0.9507162346521146
VIM	synthetic_contractile	curated	2	1	0.97485465	0.40853994490358125
VIM	synthetic_contractile	curated	2	2	2.2801712	0.7829512893982808
VIM	synthetic_contractile	curated	2	3	2.077056	0.8446389496717724
VIM	synthetic_contractile	curated	2	4	1.7889706	0.6636363636363637
VIM	synthetic_contractile	curated	2	5	1.6944078	0.7256637168141593
MYH11	synthetic_contractile	curated	3	0	0.87614816	0.4068894952251023
