compartment	contrast	n_control	n_disease	sd_log1p_cp10k	mde_80pct	estimable
ATI	COPD	18	16	0.00750987745318791	0.0072300981971481	TRUE
ATI	IPF	18	18	0.00750987745318791	0.00701422554127751	TRUE
ATII	COPD	20	16	0.0134471794524204	0.0126379197339335	TRUE
ATII	IPF	20	22	0.0134471794524204	0.0116411969935899	TRUE
Endothelial	COPD	25	17	0.00858302281728273	0.00756029215097992	TRUE
Endothelial	IPF	25	32	0.00858302281728273	0.00641949451844981	TRUE
Fibroblast	COPD	23	16	0.15620078505104	0.142481912983757	TRUE
Fibroblast	IPF	23	30	0.15620078505104	0.121301098167002	TRUE
Mural	COPD	10	11	0.283055361820311	0.346539561667227	TRUE
Mural	IPF	10	22	0.283055361820311	0.302484528121311	TRUE
Myofibroblast	COPD	16	14	0.181509525222137	0.186124768219573	TRUE
Myofibroblast	IPF	16	29	0.181509525222137	0.158385280603168	TRUE
Pericyte	COPD	3	6	0.347077484657676	0.687669202082112	FALSE
Pericyte	IPF	3	20	0.347077484657676	0.602119739595642	FALSE
SMC	COPD	8	9	0.120147584834563	0.163584212870084	TRUE
SMC	IPF	8	19	0.120147584834563	0.14188721496827	TRUE
