compartment	Control	COPD	IPF
ATI	18	16	18
ATII	20	16	22
Endothelial	25	17	32
Fibroblast	23	16	30
Mural	10	11	22
Myofibroblast	16	14	29
Pericyte	3	6	20
SMC	8	9	19
