gene	compartment	contrast	family	estimable	estimate	se	ci_lo	ci_hi	df	t.ratio	p.value	p_BH_reference	n_model_donors	covariates	n_control	n_donors_arm	n_control_donors
AGTR1	Pericyte	COPD	exploratory	FALSE	0.576584899075211	0.289034669972087	0.0100769459299214	1.1430928522205	22	1.99486414252966	0.0585917209929948		29	mean_log10_counts+sex+age+ever_smoker	3	6	3
AGTR1	SMC	IPF	exploratory	TRUE	0.100838972710505	0.052902166363346	-0.00284927336165321	0.204527218782663	29	1.90614070542814	0.0665864154987657		36	mean_log10_counts+sex+age+ever_smoker	8	19	8
AGTR1	Mural	COPD	exploratory	TRUE	0.192676831596837	0.134766547168278	-0.0714656008529881	0.456819264046663	36	1.42970815566157	0.161422412979333		43	mean_log10_counts+sex+age+ever_smoker	10	11	10
AGTR1	ATII	IPF	exploratory	TRUE	0.00619605322360571	0.00572874496790069	-0.00503228691347964	0.0174243933606911	51	1.08157253610057	0.284530283854565		58	mean_log10_counts+sex+age+ever_smoker	20	22	20
AGTR1	Mural	IPF	exploratory	TRUE	0.12186247858822	0.116920946263084	-0.107302576087425	0.351027533263865	36	1.04226387557638	0.304238429635225		43	mean_log10_counts+sex+age+ever_smoker	10	22	10
AGTR1	SMC	COPD	exploratory	TRUE	0.0535351338109194	0.0649018316097665	-0.0736724561442229	0.180742723766062	29	0.824863220083044	0.416182883941072		36	mean_log10_counts+sex+age+ever_smoker	8	9	8
AGTR1	ATI	IPF	exploratory	TRUE	0.00223957305776948	0.00354141022342995	-0.00470159098015322	0.00918073709569217	45	0.632395830043206	0.530328549238231		52	mean_log10_counts+sex+age+ever_smoker	18	18	18
AGTR1	ATII	COPD	exploratory	TRUE	0.003607479314456	0.00626613387395738	-0.00867414307850047	0.0158891017074125	51	0.575710539707588	0.567342630248752		58	mean_log10_counts+sex+age+ever_smoker	20	16	20
AGTR1	Endothelial	IPF	exploratory	TRUE	0.00179796026219694	0.00335682740494484	-0.00478142145149494	0.00837734197588883	67	0.535612959888382	0.593999645144863		74	mean_log10_counts+sex+age+ever_smoker	25	32	25
AGTR1	Endothelial	COPD	exploratory	TRUE	-0.00149285209911555	0.00353384374182925	-0.00841918583310088	0.00543348163486978	67	-0.422444286781847	0.674053403952139		74	mean_log10_counts+sex+age+ever_smoker	25	17	25
AGTR1	Pericyte	IPF	exploratory	FALSE	0.0613352458081641	0.229969928010417	-0.389405813092253	0.512076304708582	22	0.266709853496087	0.792176565838373		29	mean_log10_counts+sex+age+ever_smoker	3	20	3
AGTR1	ATI	COPD	exploratory	TRUE	0.000466639174105668	0.0035496879063574	-0.00649074912235484	0.00742402747056618	45	0.131459211743638	0.895998042690562		52	mean_log10_counts+sex+age+ever_smoker	18	16	18
AGT	Fibroblast	IPF	exploratory	TRUE	0.0889953052834214	0.0327558413700949	0.0247938561980354	0.153196754368807	62	2.71692930362862	0.00852933047162825		69	mean_log10_counts+sex+age+ever_smoker	23	30	23
ACE2	Mural	COPD	exploratory	TRUE	0.0327643074575379	0.0192006729992963	-0.00486901162108279	0.0703976265361585	36	1.70641453342488	0.0965448464918488		43	mean_log10_counts+sex+age+ever_smoker	10	11	10
ACE2	Pericyte	COPD	exploratory	FALSE	0.0971194837503986	0.0612286534043375	-0.0228886769221029	0.2171276444229	22	1.58617703232909	0.126969154815564		29	mean_log10_counts+sex+age+ever_smoker	3	6	3
AGT	Endothelial	IPF	exploratory	TRUE	0.000849182902802071	0.000578065634614374	-0.000283825741042103	0.00198219154664624	67	1.46900775959214	0.146510556281978		74	mean_log10_counts+sex+age+ever_smoker	25	32	25
AGT	Pericyte	COPD	exploratory	FALSE	0.333365630555586	0.231752334013187	-0.120868944110259	0.787600205221432	22	1.43845641069841	0.164379664083702		29	mean_log10_counts+sex+age+ever_smoker	3	6	3
AGTR2	Fibroblast	IPF	exploratory	TRUE	0.000757863473732947	0.000550329020129948	-0.000320781405721751	0.00183650835318765	62	1.37710977617352	0.173430195513505		69	mean_log10_counts+sex+age+ever_smoker	23	30	23
AGT	SMC	COPD	exploratory	TRUE	-0.240451173363408	0.174360582289063	-0.582197914649971	0.101295567923156	29	-1.37904548268127	0.178424801153141		36	mean_log10_counts+sex+age+ever_smoker	8	9	8
ACE	Myofibroblast	IPF	exploratory	TRUE	0.0202854761492189	0.0154064698654408	-0.00991120478704513	0.0504821570854829	52	1.3166855435665	0.193717786019063		59	mean_log10_counts+sex+age+ever_smoker	16	29	16
AGT	Myofibroblast	COPD	exploratory	TRUE	-0.0559825088252753	0.0437522827891789	-0.141736983092066	0.0297719654415154	52	-1.27953343817574	0.206389048569448		59	mean_log10_counts+sex+age+ever_smoker	16	14	16
ACE2	Mural	IPF	exploratory	TRUE	0.0213183898603355	0.0166581462769286	-0.0113315768424445	0.0539683565631155	36	1.27975763364867	0.208816568432277		43	mean_log10_counts+sex+age+ever_smoker	10	22	10
ACE2	ATI	IPF	exploratory	TRUE	-0.0133897139284766	0.0106433614076392	-0.0342507022874494	0.00747127443049626	45	-1.25803431976539	0.214868156746882		52	mean_log10_counts+sex+age+ever_smoker	18	18	18
AGT	Endothelial	COPD	exploratory	TRUE	0.000750648830094883	0.00060854890014285	-0.000442107014185104	0.00194340467437487	67	1.23350618153886	0.221696879041443		74	mean_log10_counts+sex+age+ever_smoker	25	17	25
AGTR2	ATII	COPD	exploratory	TRUE	0.0631890153974013	0.055957008404668	-0.046486721075748	0.172864751870551	51	1.12924220216408	0.264079315062692		58	mean_log10_counts+sex+age+ever_smoker	20	16	20
ACE2	SMC	COPD	exploratory	TRUE	0.0322327317871606	0.0299493834303698	-0.0264680597363643	0.0909335233106854	29	1.0762402458835	0.290692180154396		36	mean_log10_counts+sex+age+ever_smoker	8	9	8
ACE	Fibroblast	COPD	exploratory	TRUE	-0.0341242210163176	0.0353010445906762	-0.103314268414043	0.0350658263814079	62	-0.966663208185361	0.337468105076366		69	mean_log10_counts+sex+age+ever_smoker	23	16	23
ACE2	Pericyte	IPF	exploratory	FALSE	0.0470845683373663	0.0487164706466879	-0.0483997141301419	0.142568850804875	22	0.966502041554759	0.344298435844764		29	mean_log10_counts+sex+age+ever_smoker	3	20	3
AGT	ATII	COPD	exploratory	TRUE	-0.00742854902349068	0.0079644775273919	-0.0230389249771788	0.00818182693019744	51	-0.932710149277461	0.355364458295435		58	mean_log10_counts+sex+age+ever_smoker	20	16	20
ACE	Myofibroblast	COPD	exploratory	TRUE	-0.0160252165758473	0.0174055125572809	-0.0501400211881179	0.0180895880364233	52	-0.920697768773478	0.361460007539122		59	mean_log10_counts+sex+age+ever_smoker	16	14	16
AGT	Mural	COPD	exploratory	TRUE	-0.106144211919982	0.119502409708668	-0.340368934948972	0.128080511109008	36	-0.888218172158605	0.380319784849689		43	mean_log10_counts+sex+age+ever_smoker	10	11	10
ACE2	Fibroblast	COPD	exploratory	TRUE	-0.0360205702250169	0.0414708512403287	-0.117303438656061	0.0452622982060273	62	-0.868575617516826	0.388429135465627		69	mean_log10_counts+sex+age+ever_smoker	23	16	23
ACE	SMC	COPD	exploratory	TRUE	-0.0184911166035152	0.0229067479456031	-0.0633883425768973	0.0264061093698669	29	-0.807234472890967	0.426102981206601		36	mean_log10_counts+sex+age+ever_smoker	8	9	8
ACE	Endothelial	IPF	exploratory	TRUE	0.0734226078127847	0.101173259757011	-0.124876981310958	0.271722196936527	67	0.725711596019782	0.470542999242754		74	mean_log10_counts+sex+age+ever_smoker	25	32	25
ACE	ATI	COPD	exploratory	TRUE	0.0233912616868451	0.0327618934860845	-0.0408220495458805	0.0876045729195708	45	0.7139777100118	0.478928076370378		52	mean_log10_counts+sex+age+ever_smoker	18	16	18
ACE	Fibroblast	IPF	exploratory	TRUE	0.0210217022252774	0.0304613898909107	-0.0386826219609075	0.0807260264114623	62	0.690109752068471	0.492700443819909		69	mean_log10_counts+sex+age+ever_smoker	23	30	23
ACE2	ATI	COPD	exploratory	TRUE	-0.00734401885668834	0.0106682391725567	-0.0282537676348994	0.0135657299215227	45	-0.688400282174058	0.494734516540994		52	mean_log10_counts+sex+age+ever_smoker	18	16	18
