donor_id,leiden_pericytes,mean,std,n_cells
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837471372C,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837471372C,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837471372C,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747137C,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747137C,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747137C,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747137C,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747137C,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747137CO,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747137CO,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747137CO,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747137CO,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747137CO,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747138I,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747138I,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747138I,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747138I,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747138I,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747145I,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747145I,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747145I,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747145I,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747145I,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747152CO,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747152CO,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747152CO,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747152CO,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747152CO,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747153CO,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747153CO,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747153CO,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747153CO,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747153CO,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747157I,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747157I,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747157I,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747157I,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747157I,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747158I,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747158I,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747158I,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747158I,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747158I,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747160C,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747160C,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747160C,2,,,0
