target	ligand	regulatory_potential	ligand_rank	aupr_corrected	perm_z	perm_p_BH
LAMA4	MMP14	0.0400852159744948	1	0.163854644827056	27.1049203857773	0.0320967903209679
COL4A1	MMP14	0.0396258869446207	1	0.163854644827056	27.1049203857773	0.0320967903209679
COL18A1	MMP14	0.00589179122397815	1	0.163854644827056	27.1049203857773	0.0320967903209679
LAMC1	MMP14	0.00558288327313999	1	0.163854644827056	27.1049203857773	0.0320967903209679
NID2	MMP14	0.00519947321670959	1	0.163854644827056	27.1049203857773	0.0320967903209679
NID1	MMP14	0.00436210021767564	1	0.163854644827056	27.1049203857773	0.0320967903209679
COL4A2	MMP14	0.00435514371570911	1	0.163854644827056	27.1049203857773	0.0320967903209679
LAMA2	MMP14	0.00363466332204893	1	0.163854644827056	27.1049203857773	0.0320967903209679
HSPG2	MMP14	0.00353438706772116	1	0.163854644827056	27.1049203857773	0.0320967903209679
LAMB1	MMP14	0.00352233498574954	1	0.163854644827056	27.1049203857773	0.0320967903209679
LAMB2	MMP14	0.0034170513028413	1	0.163854644827056	27.1049203857773	0.0320967903209679
LAMC3	MMP14	0.00325386602698287	1	0.163854644827056	27.1049203857773	0.0320967903209679
LAMA4	TIMP2	0.0411874842853892	2	0.0852860534921667	14.4142039880463	0.188833400923867
COL4A1	TIMP2	0.0403883068362568	2	0.0852860534921667	14.4142039880463	0.188833400923867
COL18A1	TIMP2	0.00555256906610737	2	0.0852860534921667	14.4142039880463	0.188833400923867
LAMC1	TIMP2	0.00493954365181264	2	0.0852860534921667	14.4142039880463	0.188833400923867
NID2	TIMP2	0.0046756261841628	2	0.0852860534921667	14.4142039880463	0.188833400923867
NID1	TIMP2	0.00445943940281511	2	0.0852860534921667	14.4142039880463	0.188833400923867
COL4A2	TIMP2	0.00394282957796504	2	0.0852860534921667	14.4142039880463	0.188833400923867
LAMA2	TIMP2	0.00338722704072699	2	0.0852860534921667	14.4142039880463	0.188833400923867
HSPG2	TIMP2	0.00336722229777977	2	0.0852860534921667	14.4142039880463	0.188833400923867
LAMB1	TIMP2	0.00320338609776877	2	0.0852860534921667	14.4142039880463	0.188833400923867
LAMC3	TIMP2	0.00310782321067195	2	0.0852860534921667	14.4142039880463	0.188833400923867
