test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver	target_set	perm_mean	perm_sd	perm_z	perm_p	perm_p_BH
MMP14	0.828148730034041	0.166466292776913	0.163854644827056	0.238687565865358	1	Pericytes	basement_membrane	0.00109096341920033	0.00600494962137068	27.1049203857773	9.99900009999e-05	0.0320967903209679
TIMP2	0.721654883477351	0.087897701442023	0.0852860534921667	0.230086129633241	2	Pericytes	basement_membrane	0.00105989434694565	0.00584327509275362	14.4142039880463	0.0027997200279972	0.188833400923867
MXRA5	0.746111547525533	0.0310644030184444	0.028452755068588	0.110846172706392	3	Pericytes	basement_membrane	0.000991272961830099	0.00525624950879163	5.22453929571374	0.0026997300269973	0.188833400923867
COL5A1	0.730400628436765	0.0222804946906459	0.0196688467407895	0.067654296323246	4	Pericytes	basement_membrane	0.00106355263797296	0.00582741283992145	3.19271941321174	0.0066993300669933	0.188833400923867
TGFB2	0.704320502749415	0.020814242855569	0.0182025949057127	0.0864233763808563	5	Pericytes	basement_membrane	0.000989837896919863	0.00537779772690521	3.20070740531521	0.0056994300569943	0.188833400923867
COL1A1	0.803220738413197	0.0194575815673896	0.0168459336175333	0.074692762214758	6	Pericytes	basement_membrane	0.000992190022241228	0.00534579797196517	2.96564585463824	0.0073992600739926	0.188833400923867
COPA	0.790337784760409	0.0188413107647511	0.0162296628148948	0.0798648565710064	7	Pericytes	basement_membrane	0.00103898832857464	0.00576561592932584	2.63470107487655	0.0087991200879912	0.188833400923867
FGF7	0.82076459806232	0.0144243725750377	0.0118127246251813	0.0820750275592124	8	Pericytes	basement_membrane	0.0010027720653582	0.00549825015419808	1.96607143303026	0.0124987501249875	0.188833400923867
CALM3	0.765566902330454	0.0142475371267289	0.0116358891768725	0.0690994280998966	9	Pericytes	basement_membrane	0.00108988841009492	0.00614763448253469	1.71545670074215	0.013998600139986	0.188833400923867
RELN	0.716025137470544	0.0136585441229531	0.0110468961730967	0.0623531885667246	10	Pericytes	basement_membrane	0.000972426988641917	0.00519301340711079	1.94000446266128	0.0120987901209879	0.188833400923867
POSTN	0.631866980885049	0.0134441243686613	0.010832476418805	0.0633566480678845	11	Pericytes	basement_membrane	0.00108194819731399	0.00591512354001005	1.64840652194974	0.0146985301469853	0.188833400923867
TGFB1	0.834380727939251	0.0129101461579494	0.010298498208093	0.065106122131224	12	Pericytes	basement_membrane	0.00100070349895137	0.00546229262191847	1.70217806930235	0.0140985901409859	0.188833400923867
IGF2	0.817203456402202	0.0125066432296007	0.00989499527974431	0.0680944661873129	13	Pericytes	basement_membrane	0.00106549855728289	0.00615981192316585	1.43340362215531	0.015998400159984	0.188833400923867
FGF2	0.776747839748627	0.0117802938340345	0.00916864588417811	0.0584491396847752	14	Pericytes	basement_membrane	0.00100084010566456	0.00532766445109083	1.5330931318021	0.0176982301769823	0.188833400923867
COL10A1	0.683817753338572	0.011336532980384	0.00872488503052765	0.049025011183685	15	Pericytes	basement_membrane	0.00105584721556911	0.00572291436795264	1.34005811058503	0.0192980701929807	0.188833400923867
CALR	0.770542026708563	0.00850282416630993	0.00589117621645357	0.0344956113329825	16	Pericytes	basement_membrane	0.00100766981735436	0.00558990567701298	0.873629481653214	0.0303969603039696	0.188833400923867
NPNT	0.796726891856508	0.00785057998779578	0.00523893203793942	0.0507419622230164	17	Pericytes	basement_membrane	0.00104282966803796	0.00597999214644994	0.701690281047026	0.0348965103489651	0.188833400923867
VEGFC	0.79287771667976	0.00783438331048871	0.00522273536063235	0.0524891704335698	18	Pericytes	basement_membrane	0.00104344859295172	0.00575249517829917	0.726517213512261	0.0380961903809619	0.188833400923867
SEMA4C	0.800130924325741	0.00751277571721949	0.00490112776736313	0.0467468106192852	19	Pericytes	basement_membrane	0.00105364366599081	0.00603349921270684	0.637687014737539	0.0393960603939606	0.188833400923867
JAG1	0.718512699659599	0.00750820907109544	0.00489656112123908	0.0320817782154806	20	Pericytes	basement_membrane	0.00119037216106157	0.00677933118518869	0.546689468169765	0.0447955204479552	0.188833400923867
PDGFA	0.724482848913328	0.00748875036611147	0.00487710241625511	0.0347999229725671	21	Pericytes	basement_membrane	0.000993687557423219	0.00525075622443256	0.739591535550971	0.0400959904009599	0.188833400923867
MCAM	0.801649646504321	0.00727138879954045	0.00465974084968409	0.0342905665247443	22	Pericytes	basement_membrane	0.00115025472091583	0.00663943520152231	0.528582028779135	0.0441955804419558	0.188833400923867
BMP2	0.759596753076723	0.00726433096637594	0.00465268301651959	0.0267287082856666	23	Pericytes	basement_membrane	0.000978825851330667	0.00551521068672992	0.666131789675513	0.0401959804019598	0.188833400923867
CRTAM	0.71631317098717	0.00711296752145476	0.0045013195715984	0.0271426147726615	24	Pericytes	basement_membrane	0.000954898747599577	0.00517955244027363	0.684696383499009	0.0405959404059594	0.188833400923867
ADAM9	0.778502225713538	0.00696920042492997	0.00435755247507361	0.0336433024643731	25	Pericytes	basement_membrane	0.00104041233419327	0.00583253020296007	0.568730898160948	0.0486951304869513	0.188833400923867
BMP3	0.678057083006025	0.006720597786035	0.00410894983617864	0.0338605559870636	26	Pericytes	basement_membrane	0.00107213702980169	0.00605620200894326	0.501438492621688	0.0518948105189481	0.188833400923867
BMP1	0.711311861743914	0.00667426915236986	0.0040626212025135	0.0382419381147472	27	Pericytes	basement_membrane	0.00105067136537891	0.00599911662679014	0.502065558066363	0.0512948705129487	0.188833400923867
BMP5	0.716103692065987	0.00666604991327896	0.0040544019634226	0.0379683386406041	28	Pericytes	basement_membrane	0.00104424796222772	0.00598391292225486	0.50304107701831	0.0526947305269473	0.188833400923867
COL5A3	0.762267609321814	0.00662364843678307	0.00401200048692671	0.0395037228184478	29	Pericytes	basement_membrane	0.00105236232242702	0.00596709563267035	0.495993083853964	0.0525947405259474	0.188833400923867
COL15A1	0.783843938203718	0.00661164009410224	0.00399999214424588	0.0354746938388281	30	Pericytes	basement_membrane	0.0010057997613469	0.00577232799570806	0.518714872946457	0.0498950104989501	0.188833400923867
LSAMP	0.745326001571092	0.00660764302645102	0.00399599507659466	0.0402082869509457	31	Pericytes	basement_membrane	0.00104915965496087	0.00599796695701952	0.491305711210207	0.0505949405059494	0.188833400923867
C1QB	0.795260539408222	0.0065753607218969	0.00396371277204054	0.0378093433789397	32	Pericytes	basement_membrane	0.00123687038899833	0.00740203394550402	0.368390958906436	0.055994400559944	0.188833400923867
HSPG2	0.798193244304792	0.00654199545499182	0.00393034750513546	0.0279755846660321	33	Pericytes	basement_membrane	0.000950097078481096	0.00492826024835987	0.604726673605802	0.0530946905309469	0.188833400923867
CTSD	0.767426027755958	0.00650863433069976	0.0038969863808434	0.0335375585584535	34	Pericytes	basement_membrane	0.000945108868136669	0.0048030920130685	0.614578589099504	0.0558944105589441	0.188833400923867
