test_ligand	aupr_frozen	rank_frozen	aupr_bm	rank_bm	perm_p_BH
TGFB2	0.208170306721241	1	0.0182025949057127	5	0.188833400923867
TGFB1	0.2030569287902	2	0.010298498208093	12	0.188833400923867
CCN2	0.158998327486667	3	0.00161077859935698	246	0.20888387351741
TIMP2	0.146083452147181	4	0.0852860534921667	2	0.188833400923867
COPA	0.13852941971183	5	0.0162296628148948	7	0.188833400923867
VTN	0.12887517289011	6	0.0025864489373358	134	0.188833400923867
COL4A1	0.121277247355698	7	0.00244163635903537	160	0.188833400923867
COL1A1	0.107306389764533	8	0.0168459336175333	6	0.188833400923867
MMP14	0.103919588314249	9	0.163854644827056	1	0.0320967903209679
COL5A1	0.103344551086895	10	0.0196688467407895	4	0.188833400923867
AGT	0.102744838353057	11	0.00132761733927748	267	0.232404537324045
ENG	0.102339758308924	12	0.00320636789003208	66	0.188833400923867
SIRPB2	0.100088913619808	13	0.00176559158347732	232	0.195175801568779
VCAM1	0.0989730367689061	14	0.00243954280353295	161	0.188833400923867
FN1	0.0956954831852978	15	0.00340324684080063	48	0.188833400923867
RELN	0.0951689614659528	16	0.0110468961730967	10	0.188833400923867
NAMPT	0.0950738842539528	17	0.0032652462875941	60	0.188833400923867
THBS2	0.0931076112478326	18	0.00270130106376472	115	0.188833400923867
TGM2	0.092948240344352	19	0.00158948043568755	249	0.207920171838238
ICAM1	0.0873564816898791	20	0.0015334922616048	252	0.20888387351741
TNC	0.0863933442655254	21	0.00238389995517305	166	0.188833400923867
BMP4	0.08533396195016	22	0.00319878459662636	67	0.188833400923867
ANG	0.0839745362064393	23	0.00292494521264062	90	0.188833400923867
WNT3A	0.0839172948439343	24	0.000398797820785961	314	0.402491699711818
NTS	0.0816279701361454	25	0.00174433473427329	236	0.198700892622602
SEMA3F	0.0794509652862885	26	0.00254122667037184	142	0.188833400923867
DLL4	0.0777105202694205	27	0.0025994344221395	132	0.188833400923867
C4BPA	0.0764189084552329	28	0.000235074951725257	318	0.462981060384528
SHISA4	0.0763690556211291	29	0.00194203603522388	213	0.191408256434631
LGALS3BP	0.0747588252367856	30	0.0035769453498581	46	0.188833400923867
GGT1	0.0743091328090485	31	0.00241382583585238	164	0.188833400923867
C1QB	0.0739647686741691	32	0.00396371277204054	32	0.188833400923867
OCLN	0.0732563409883554	33	0.00264169953706662	126	0.188833400923867
LTBP1	0.073168772314913	34	0.00279176532897677	104	0.188833400923867
JAM3	0.0716298117121812	35	0.00236069416879416	168	0.188833400923867
EDN1	0.0715255815907329	36	0.00261523409491154	128	0.188833400923867
TIMP3	0.0706530555650109	37	0.00202272812777783	208	0.190420381038819
SEMA3A	0.0704655567355334	38	0.00199249123726981	209	0.191352156650364
PSAP	0.0703579584653636	39	0.00303396467943167	79	0.188833400923867
MMP9	0.0697452544111374	40	0.00180839238504369	230	0.195175801568779
ANXA1	0.0692701373182946	41	0.00289305511065269	95	0.188833400923867
TIMP1	0.0685572309005836	42	0.00213293321489961	195	0.188833400923867
MMP2	0.0684925951937477	43	0.000975033818666569	287	0.280147943393814
C3	0.0681527713726105	44	0.00278210008439486	105	0.188833400923867
COL1A2	0.0679970887114916	45	0.00379080730201704	41	0.188833400923867
FBN1	0.0678045114154984	46	0.00241421822761638	163	0.188833400923867
COL3A1	0.0676191534595755	47	0.00283501868069752	101	0.188833400923867
PLAT	0.0675002827213952	48	0.000701814006468342	300	0.333444064231451
LAMA3	0.0674705608315087	49	0.00246389181308233	157	0.188833400923867
VCAN	0.0673884213806335	50	0.00250492871496236	149	0.188833400923867
CALM3	0.0672451357547388	51	0.0116358891768725	9	0.188833400923867
DCN	0.0672102140030701	52	0.00203317776087559	204	0.190420381038819
COL10A1	0.0671329398678508	53	0.00872488503052765	15	0.188833400923867
CTSG	0.0670758277676853	54	0.00202370029826691	206	0.190420381038819
MMP7	0.0670746808683973	55	0.00116257862178152	278	0.251748490631364
BMP1	0.0670220207024986	56	0.0040626212025135	27	0.188833400923867
FGA	0.0669438414003644	57	0.0032418730383754	62	0.188833400923867
FCN1	0.0668481788641164	58	0.00318558789263655	68	0.188833400923867
PTPRK	0.0658056828061612	59	0.00170661925272815	239	0.202303006213901
COL5A3	0.0655322254942965	60	0.00401200048692671	29	0.188833400923867
FLRT2	0.0652236736187425	61	0.00149183829121123	257	0.21674627904005
NEGR1	0.0652199535187805	62	0.00289194215653512	96	0.188833400923867
LAMA5	0.0647332040892507	63	0.00307526954173929	77	0.188833400923867
CTSD	0.0645953817295048	64	0.0038969863808434	34	0.188833400923867
FST	0.0643202282574419	65	0.00249154244300938	151	0.188833400923867
CDCP1	0.063811104351039	66	0.0030475610140741	78	0.188833400923867
SELE	0.0637202361578452	67	0.00135322491245897	264	0.229262788006914
LAMC1	0.0633538568033651	68	0.00322152235087371	64	0.188833400923867
A2M	0.0633037100649395	69	0.00247410808234867	156	0.188833400923867
HDC	0.0630251893694482	70	0.00174742120274265	235	0.195175801568779
CXCL12	0.0629886953274773	71	0.00119552378059145	275	0.248431474542076
LUM	0.0628758606497369	72	0.00302031089947049	80	0.188833400923867
GRN	0.0626605642283635	73	0.00183772341959002	227	0.195175801568779
ITGB2	0.0624755828398465	74	0.00187208092885182	225	0.194435223144352
CD14	0.0623406745866006	75	0.000741251563649767	297	0.321616323216163
SERPING1	0.0621643707842395	76	0.00232627962401868	174	0.188833400923867
IL1B	0.0619109371522095	77	0.00131284154564967	270	0.232731339412184
VWF	0.0618652031070882	78	0.00286653126158164	97	0.188833400923867
FAM3C	0.0616479023307426	79	0.00214969174262655	193	0.188833400923867
FGG	0.061500726757183	80	0.0029654474254062	85	0.188833400923867
LAMB3	0.0614592756526951	81	0.00235817224221735	169	0.188833400923867
BMP5	0.061287069604613	82	0.0040544019634226	28	0.188833400923867
LGALS9	0.061265763038598	83	0.00165852048766772	241	0.20746433421174
TFPI	0.0611551753843855	84	0.00237369660101006	167	0.188833400923867
COL6A2	0.0611514406571874	85	0.00267144453330808	119	0.188833400923867
CCN1	0.0611234502773197	86	0.00248839731756274	153	0.188833400923867
CORIN	0.0610992310329997	87	0.00258829956489361	133	0.188833400923867
S100A4	0.0610712177285981	88	0.00193646924207172	215	0.191408256434631
TGFBI	0.0609402543581274	89	0.00161123212434524	245	0.206467516513655
PLA2G2A	0.0609328308309646	90	0.00193277382196998	216	0.191408256434631
SIGLEC7	0.0605615810857819	91	0.00385470816979589	37	0.188833400923867
LIN7C	0.0603216052989669	92	0.00335669551837797	51	0.188833400923867
SPARC	0.0602347875480588	93	0.00206856099853053	200	0.190420381038819
SIGLEC9	0.0600998270753222	94	0.00211520835759835	197	0.188833400923867
CP	0.0596478974173336	95	0.00182651973495006	228	0.194435223144352
GPC6	0.059515379167645	96	0.0023409272845822	172	0.188833400923867
BACE1	0.0593857260064534	97	0.00080835560426791	294	0.305083826088381
GNAS	0.0593154689641262	98	0.00221425971022345	188	0.188833400923867
IL1RN	0.059291535302901	99	0.00113959832188398	279	0.250240333109546
NRG3	0.0591778079153749	100	0.00245653044669494	159	0.188833400923867
NRP1	0.0591720941224714	101	0.00378427581682993	42	0.188833400923867
THBS1	0.0591278234788892	102	0.0019234379190647	217	0.191408256434631
COL14A1	0.0590825676184907	103	0.00286092470463012	99	0.188833400923867
COL6A6	0.0590605180825311	104	0.0026418485987474	125	0.188833400923867
PROS1	0.0590384681125196	105	0.00277028541743146	106	0.188833400923867
SLPI	0.0589344663413165	106	0.000308302743933717	316	0.439705712973007
