ligand	target	weight
TGFB2	ACTA2	0.109383305154019
TGFB2	CCN2	0.138160177367219
TGFB2	COL1A1	0.243166093729439
TGFB2	COL1A2	0.248933399679773
TGFB2	COL4A1	0.148611897364447
TGFB2	COL5A1	0.149279270355392
TGFB2	FBN1	0.125988046227586
TGFB2	SERPINE1	0.261480320044368
TGFB2	TAGLN	0.151178351437973
TGFB2	TIMP1	0.078589425131773
TGFB2	TPM1	0.143478384042232
TGFB1	ADAMTS1	0.165844976840419
TGFB1	CCN1	0.164368895845791
TGFB1	CCN2	0.193023303697976
TGFB1	COL1A1	0.276859206675854
TGFB1	COL4A1	0.241031693460777
TGFB1	COL5A1	0.22304413869149
TGFB1	FN1	0.28097622612729
TGFB1	MMP2	0.206804265399962
TGFB1	SERPINE1	0.320490318719348
TGFB1	SPARC	0.215406319724381
TGFB1	TAGLN	0.304075046544935
TGFB1	THBS1	0.281083854907882
TGFB1	TPM1	0.271276113879666
CCN2	ACTA2	0.0141169540353045
CCN2	CCN1	0.0147898387798476
CCN2	CCN2	0.0185059208662147
CCN2	COL1A1	0.0138883180056216
CCN2	COL1A2	0.0749494889146334
CCN2	FN1	0.0169059335905505
CCN2	MMP2	0.0748554861489243
CCN2	NFKBIA	0.0179583593479047
CCN2	SERPINE1	0.085689817710143
CCN2	SOD2	0.0147916852417604
CCN2	THBS1	0.0198385976101161
CCN2	TIMP1	0.0736636346222342
TIMP2	CCN1	0.00728808615500627
TIMP2	CCN2	0.00948171642576424
TIMP2	COL1A1	0.0423810290995433
TIMP2	COL1A2	0.00789318229776131
TIMP2	COL4A1	0.0403883068362568
TIMP2	FN1	0.0095625456140356
TIMP2	MMP2	0.0115184921563054
TIMP2	NFKBIA	0.0108745372699239
TIMP2	SERPINE1	0.0127217020859026
TIMP2	SOD2	0.00837310849133203
TIMP2	THBS1	0.00814610583550094
TIMP2	TIMP1	0.00752539844866291
COPA	CCN1	0.00644118873345439
COPA	CCN2	0.00714197243386886
COPA	COL1A1	0.0235003260641938
COPA	COL4A1	0.023283802358222
COPA	COL5A1	0.023349308560798
COPA	FN1	0.00669532133517974
COPA	MMP2	0.00626889693780821
COPA	NFKBIA	0.0076470371473381
COPA	SERPINE1	0.00937770015568057
COPA	THBS1	0.00754666337968846
VTN	CCN1	0.00898905734432325
VTN	CCN2	0.0112059080043879
VTN	COL1A2	0.00922915443567275
VTN	FN1	0.0108467036077466
VTN	MMP2	0.0691741729210979
VTN	NFKBIA	0.0106937122218221
VTN	SERPINE1	0.0145437810198625
VTN	SOD2	0.00878187314582373
VTN	THBS1	0.0108554612497941
VTN	TIMP2	0.0668877934427876
COL4A1	CCN1	0.00708312847884992
COL4A1	CCN2	0.00781538874750667
COL4A1	COL1A1	0.024765542102319
COL4A1	COL5A1	0.0239340449692013
COL4A1	FN1	0.00785267711067576
COL4A1	MMP2	0.0076748478447575
COL4A1	NFKBIA	0.00866848319912494
COL4A1	SERPINE1	0.0112733214931607
COL4A1	THBS1	0.00878985371752253
COL1A1	CCN1	0.0100357089388986
COL1A1	CCN2	0.0116052273880797
COL1A1	COL4A1	0.0249075121236797
COL1A1	COL5A1	0.0266324966104302
COL1A1	FN1	0.00976833699700575
COL1A1	MMP2	0.0115399003667261
COL1A1	NFKBIA	0.0118558308677203
COL1A1	SERPINE1	0.0166973008450702
COL1A1	SOD2	0.00960445096561801
COL1A1	THBS1	0.0122542163169669
MMP14	CCN1	0.00773571519492645
MMP14	CCN2	0.00896507408462655
MMP14	COL1A1	0.0400776455765504
MMP14	COL4A1	0.0396258869446207
MMP14	FN1	0.00903412381074583
MMP14	MMP2	0.00838007432460412
MMP14	NFKBIA	0.00811594207208334
MMP14	SERPINE1	0.0116710985785521
MMP14	THBS1	0.00959223257056004
COL5A1	CCN1	0.00753498664460333
COL5A1	CCN2	0.00862608916121309
COL5A1	COL1A1	0.0250897370260272
COL5A1	COL4A1	0.0235806801737352
