test_ligand	obs_aupr	null_mean	null_sd	z	p_emp	rank_by_aupr	receiver	p_emp_adj	rank_by_z	p_emp_at_floor	rank_note	rank
TGFB2	0.208170306721241	0.00108450845875779	0.00409878009095111	50.52376406328	9.99900009999e-05	1	Pericytes	0.000108684783695543	2	TRUE	DISAGREE: aupr rank 1, z rank 2 -- quote z	1
TGFB1	0.2030569287902	0.00103096647085298	0.00397845656864964	50.7799843565763	9.99900009999e-05	2	Pericytes	0.000108684783695543	1	TRUE	DISAGREE: aupr rank 2, z rank 1 -- quote z	2
CCN2	0.158998327486667	0.00110277791571543	0.00410774506607223	38.4384977721924	9.99900009999e-05	3	Pericytes	0.000108684783695543	4	TRUE	DISAGREE: aupr rank 3, z rank 4 -- quote z	3
TIMP2	0.146083452147181	0.00100067101879027	0.00360994284380507	40.1897723609015	9.99900009999e-05	4	Pericytes	0.000108684783695543	3	TRUE	DISAGREE: aupr rank 4, z rank 3 -- quote z	4
COPA	0.13852941971183	0.00101161586982544	0.00370044409384679	37.1625135671347	9.99900009999e-05	5	Pericytes	0.000108684783695543	5	TRUE	aupr and z agree	5
VTN	0.12887517289011	0.00104186056729302	0.00375913966455165	34.0060023649223	9.99900009999e-05	6	Pericytes	0.000108684783695543	6	TRUE	aupr and z agree	6
COL4A1	0.121277247355698	0.00101444822433085	0.00369159796353984	32.5774367412557	9.99900009999e-05	7	Pericytes	0.000108684783695543	7	TRUE	aupr and z agree	7
COL1A1	0.107306389764533	0.00106889181880724	0.00400850479826213	26.503023768809	9.99900009999e-05	8	Pericytes	0.000108684783695543	10	TRUE	DISAGREE: aupr rank 8, z rank 10 -- quote z	8
MMP14	0.103919588314249	0.00100809192605601	0.00366322173206822	28.0931660476065	9.99900009999e-05	9	Pericytes	0.000108684783695543	9	TRUE	aupr and z agree	9
COL5A1	0.103344551086895	0.000995368518005657	0.00358781801855976	28.5268600691109	9.99900009999e-05	10	Pericytes	0.000108684783695543	8	TRUE	DISAGREE: aupr rank 10, z rank 8 -- quote z	10
AGT	0.102744838353057	0.00107116465985197	0.00393384975179088	25.8458457003648	9.99900009999e-05	11	Pericytes	0.000108684783695543	12	TRUE	DISAGREE: aupr rank 11, z rank 12 -- quote z	11
ENG	0.102339758308924	0.00108315158457207	0.00402406585186783	25.162760862214	9.99900009999e-05	12	Pericytes	0.000108684783695543	14	TRUE	DISAGREE: aupr rank 12, z rank 14 -- quote z	12
SIRPB2	0.100088913619808	0.00102754670041206	0.00380767904886552	26.0162071561444	9.99900009999e-05	13	Pericytes	0.000108684783695543	11	TRUE	DISAGREE: aupr rank 13, z rank 11 -- quote z	13
VCAM1	0.0989730367689061	0.00102072729241611	0.00380688431495624	25.7303089278708	9.99900009999e-05	14	Pericytes	0.000108684783695543	13	TRUE	DISAGREE: aupr rank 14, z rank 13 -- quote z	14
FN1	0.0956954831852978	0.00102823791146751	0.0037819208046165	25.0315250277775	9.99900009999e-05	15	Pericytes	0.000108684783695543	16	TRUE	DISAGREE: aupr rank 15, z rank 16 -- quote z	15
RELN	0.0951689614659528	0.00109171570242576	0.00405914147574645	23.1766363221491	9.99900009999e-05	16	Pericytes	0.000108684783695543	21	TRUE	DISAGREE: aupr rank 16, z rank 21 -- quote z	16
NAMPT	0.0950738842539528	0.00101766798369774	0.00375005668286897	25.0812785577144	9.99900009999e-05	17	Pericytes	0.000108684783695543	15	TRUE	DISAGREE: aupr rank 17, z rank 15 -- quote z	17
THBS2	0.0931076112478326	0.00102708455106534	0.00383423037364636	24.0153871112336	9.99900009999e-05	18	Pericytes	0.000108684783695543	17	TRUE	DISAGREE: aupr rank 18, z rank 17 -- quote z	18
TGM2	0.092948240344352	0.0010316796245679	0.00393866320829219	23.3369942690884	9.99900009999e-05	19	Pericytes	0.000108684783695543	18	TRUE	DISAGREE: aupr rank 19, z rank 18 -- quote z	19
ICAM1	0.0873564816898791	0.00103490204945844	0.00371265442605696	23.250636804379	9.99900009999e-05	20	Pericytes	0.000108684783695543	19	TRUE	DISAGREE: aupr rank 20, z rank 19 -- quote z	20
TNC	0.0863933442655254	0.000998028077855383	0.00380466173959059	22.444916797481	0.0001999800019998	21	Pericytes	0.0001999800019998	22	FALSE	DISAGREE: aupr rank 21, z rank 22 -- quote z	21
BMP4	0.08533396195016	0.00101223791074271	0.00362922717290864	23.2340716141607	9.99900009999e-05	22	Pericytes	0.000108684783695543	20	TRUE	DISAGREE: aupr rank 22, z rank 20 -- quote z	22
ANG	0.0839745362064393	0.00103507616503735	0.00394725268573177	21.0119459393125	0.0001999800019998	23	Pericytes	0.0001999800019998	25	FALSE	DISAGREE: aupr rank 23, z rank 25 -- quote z	23
WNT3A	0.0839172948439343	0.00103608248762383	0.00390321601990791	21.2340828520851	9.99900009999e-05	24	Pericytes	0.000108684783695543	24	TRUE	aupr and z agree	24
NTS	0.0816279701361454	0.00101305486939182	0.00360911992406413	22.3364468244035	9.99900009999e-05	25	Pericytes	0.000108684783695543	23	TRUE	DISAGREE: aupr rank 25, z rank 23 -- quote z	25
