ligand	target	weight
PRG4	ITGB1	0.00826494052766578
PRG4	NFKBIA	0.010270823883646
PRG4	PCNA	0.00902173870772651
PRG4	THBS1	0.0120752691684701
SFTPA1	CCL2	0.0147046070827148
SFTPA1	CCN1	0.00959871508493917
SFTPA1	CCN2	0.01215924865199
SFTPA1	CCND1	0.021839542417685
SFTPA1	CXCL8	0.105436310165673
SFTPA1	FN1	0.00978640851537276
SFTPA1	ICAM1	0.0150145165411428
SFTPA1	NFKBIA	0.0105095865438492
SFTPA1	PCNA	0.01002799717727
SFTPA1	SOD2	0.0100931860399616
SFTPA1	THBS1	0.0133748457363238
SFTPA1	TIMP1	0.0110666583471602
SFTPA1	TIMP2	0.00920271788104226
SIGLEC9	CCL2	0.00910362940105561
SIGLEC9	CCL20	0.00643088150588475
SIGLEC9	CCN1	0.00698609297081504
SIGLEC9	CCN2	0.00975294688179026
SIGLEC9	CCND1	0.0179970798092561
SIGLEC9	CXCL1	0.00634454186586275
SIGLEC9	CXCL2	0.00608923060414208
SIGLEC9	CXCL8	0.0114211196784284
SIGLEC9	FN1	0.00715584549728368
SIGLEC9	ICAM1	0.01049849899924
SIGLEC9	NFKBIA	0.00816029528378477
SIGLEC9	SOD2	0.00618886376533457
SIGLEC9	THBS1	0.00903260772385628
S100A8	CCL2	0.0200586354013967
S100A8	CCN1	0.0122211750109317
S100A8	CCN2	0.0154314304147136
S100A8	CCND1	0.0288862294818122
S100A8	CXCL1	0.0131280474713346
S100A8	CXCL8	0.0772790620279314
S100A8	FN1	0.0143439102604582
S100A8	ICAM1	0.0218698463693709
S100A8	NFKBIA	0.0152693196433959
S100A8	PCNA	0.0128735050296662
S100A8	SOD2	0.0141388892968169
S100A8	THBS1	0.0181241683627567
TIMP2	CCL2	0.010691837855735
TIMP2	CCN1	0.00728808615500627
TIMP2	CCN2	0.00948171642576424
TIMP2	CCND1	0.0190340369879964
TIMP2	CXCL1	0.00784409859144127
TIMP2	CXCL2	0.00712599499098102
TIMP2	CXCL8	0.0115132961742798
TIMP2	FN1	0.0095625456140356
TIMP2	ICAM1	0.0128087568604404
TIMP2	NFKBIA	0.0108745372699239
TIMP2	SOD2	0.00837310849133203
TIMP2	THBS1	0.00814610583550094
TIMP2	TIMP1	0.00752539844866291
EDN1	CCL2	0.069496829960402
EDN1	CCN1	0.00913487201999152
EDN1	CCN2	0.0113686904296738
EDN1	CCND1	0.0197628031798424
EDN1	CXCL8	0.103014448380721
EDN1	FN1	0.0108611933991278
EDN1	ICAM1	0.0690945477207059
EDN1	NFKBIA	0.010563715071801
EDN1	PCNA	0.00883893438581479
EDN1	SOD2	0.009000675419172
EDN1	THBS1	0.0115319522707414
EDN1	TIMP1	0.0668322723953267
SHISA4	CCL2	0.0065288706108762
SHISA4	CCN1	0.00450678213348196
SHISA4	CCN2	0.0052651908732104
SHISA4	CCND1	0.0104642232943449
SHISA4	CXCL2	0.00434258158987091
SHISA4	CXCL8	0.00927307416302382
SHISA4	FN1	0.00516925363621768
SHISA4	ICAM1	0.0059059753533586
SHISA4	MYL9	0.00569707675849601
SHISA4	NFKBIA	0.00582083643426482
SHISA4	PCNA	0.00496375617028909
SHISA4	SOD2	0.00430549657560094
SHISA4	THBS1	0.00554061848309754
SHISA4	TIMP1	0.0040352575465209
ITGB2	CCL2	0.0693727312034773
ITGB2	CCN1	0.00797121017196716
ITGB2	CCN2	0.00985063157760789
ITGB2	CCND1	0.0203125561827812
ITGB2	CXCL1	0.00850919164385694
ITGB2	CXCL2	0.00854551248808607
ITGB2	CXCL8	0.0128054228251364
ITGB2	FN1	0.0102363054469251
ITGB2	ICAM1	0.014359012146744
ITGB2	NFKBIA	0.0113066221342132
ITGB2	PCNA	0.0080479258299811
ITGB2	SOD2	0.00881943181856204
ITGB2	THBS1	0.0097529100845481
ITGB2	TIMP1	0.00943221341191971
NTN1	CCL2	0.0104797340248784
NTN1	CCL20	0.00716355067901909
NTN1	CCN1	0.00716246427039222
NTN1	CCN2	0.00851668079619238
NTN1	CCND1	0.0186095085368942
NTN1	CXCL1	0.00722634527605164
NTN1	CXCL2	0.00719294451650857
NTN1	CXCL8	0.0112768808351226
NTN1	FN1	0.00920981336884308
NTN1	ICAM1	0.0442955299780072
NTN1	NFKBIA	0.0103623577927365
NTN1	PCNA	0.00737283453264299
NTN1	SOD2	0.0082917563622626
NTN1	THBS1	0.00894281840964799
JAM3	CCL2	0.014585561026495
JAM3	CCL20	0.00818659630181847
JAM3	CCN1	0.00874323654692819
JAM3	CCN2	0.00952548099267341
JAM3	CCND1	0.0179369217832128
JAM3	CXCL8	0.0115170203078676
JAM3	FN1	0.00868242531633247
JAM3	ICAM1	0.0137738082584573
JAM3	NFKBIA	0.0110945888444548
JAM3	SOD2	0.00775311563162229
JAM3	THBS1	0.00946535614804037
MMP2	CCL2	0.0124053717993125
MMP2	CCN1	0.0107297016717109
MMP2	CCN2	0.012880337864367
MMP2	CCND1	0.0253107501769882
MMP2	CXCL1	0.00927895956413565
MMP2	CXCL8	0.0126148110030623
MMP2	FN1	0.0122641338692963
MMP2	ICAM1	0.0145990731369164
MMP2	NFKBIA	0.0126214350778952
MMP2	PCNA	0.00920350293664148
MMP2	SOD2	0.00990483171928484
MMP2	THBS1	0.0108600944485244
MMP2	TIMP1	0.00942470599114557
NTS	CCL2	0.0107488761870446
NTS	CCN1	0.00666257925751912
NTS	CCN2	0.0101192080314965
NTS	CCND1	0.0175040438002031
NTS	CXCL8	0.101596539558699
NTS	FN1	0.00751470132596496
NTS	ICAM1	0.0103935240193538
NTS	NFKBIA	0.00710696672609037
NTS	SOD2	0.00680375860512433
NTS	THBS1	0.0075908849053279
PLA2G2A	CCL2	0.0654955214349809
PLA2G2A	CCL20	0.00597059927671925
PLA2G2A	CCN1	0.00573566217050466
PLA2G2A	CCN2	0.00664633979585554
PLA2G2A	CCND1	0.0132935575887658
PLA2G2A	CXCL1	0.00572530892132121
PLA2G2A	CXCL8	0.0651554471892519
PLA2G2A	FN1	0.00682672509543075
PLA2G2A	ICAM1	0.00855037440759575
PLA2G2A	NFKBIA	0.00810030137779202
PLA2G2A	PCNA	0.0054368283081349
PLA2G2A	SOD2	0.0065227283051353
PLA2G2A	THBS1	0.00686688440817729
PLA2G2A	TIMP1	0.00576172346956549
FN1	CCL2	0.010873957906326
FN1	CCN1	0.00882449369499482
FN1	CCN2	0.00949941234869915
FN1	CCND1	0.0185512275763319
FN1	CXCL8	0.0110121458751979
FN1	FN1	0.00923025726332579
FN1	ICAM1	0.010075366083666
FN1	NFKBIA	0.0423959424166618
FN1	PCNA	0.00813898134450635
FN1	SOD2	0.00740308762843163
FN1	THBS1	0.00998703589420798
FN1	TIMP1	0.0406065683958847
S100A9	CCL2	0.0171999092757182
S100A9	CCN2	0.0180212762254547
S100A9	CCND1	0.0290108005449927
S100A9	CXCL1	0.0147856612788633
S100A9	CXCL8	0.0764194972952172
S100A9	FN1	0.0158963811537551
S100A9	ICAM1	0.023302192695651
S100A9	NFKBIA	0.0160137221909177
S100A9	PCNA	0.0144528735600282
S100A9	SOD2	0.0156418336584643
S100A9	THBS1	0.0174886729019916
ICAM1	CCL2	0.0192443016433781
ICAM1	CCL20	0.011222780514782
ICAM1	CCN1	0.0112417149372647
ICAM1	CCN2	0.0136202615109694
ICAM1	CCND1	0.0269905729223813
ICAM1	CXCL1	0.0137773845112821
ICAM1	CXCL2	0.0124945745245157
ICAM1	CXCL8	0.0189853417930264
ICAM1	FN1	0.0142115572693387
ICAM1	ICAM1	0.0211237828352325
ICAM1	NFKBIA	0.0175294662899273
ICAM1	PCNA	0.0108102615092345
ICAM1	SOD2	0.0134992068494459
ICAM1	THBS1	0.013526370281376
ICAM1	TIMP1	0.0455188658211495
SELE	CCL2	0.0181553564272555
SELE	CCN2	0.0155584778212901
SELE	CCND1	0.0307058938362631
SELE	CXCL1	0.0147688198187279
SELE	CXCL2	0.0139513489293805
SELE	CXCL8	0.0201428369588217
SELE	FN1	0.0155858481272858
SELE	ICAM1	0.0776036098111586
SELE	ITGB1	0.0655729181345034
SELE	NFKBIA	0.0166936589543149
SELE	SOD2	0.0141899108079872
SELE	THBS1	0.0139859792663576
SELE	TIMP1	0.0145604890718603
CLEC11A	CCL2	0.0198594649158635
CLEC11A	CCL20	0.0134242825371339
CLEC11A	CCND1	0.0245721569608565
CLEC11A	CXCL1	0.0169693073349286
CLEC11A	CXCL2	0.017038870617612
CLEC11A	CXCL8	0.0180813166001767
CLEC11A	FN1	0.0159786156573445
CLEC11A	ICAM1	0.0207064512292587
CLEC11A	NFKBIA	0.0200019569948372
CLEC11A	SOD2	0.0131275852328793
CLEC11A	THBS1	0.0130596289315368
