celltype	AP18002	AP18003	AP18004	AP18005	AP18006	AP18007	AP18008	AP18009
cardiomyocyte	187	114	268	180	235	87	117	132
endothelial	718	638	791	825	679	553	703	704
fibroblast	1968	1213	2106	2408	1963	1897	1805	2583
macrophage	756	523	1124	794	610	504	365	715
pericyte	57	33	87	59	42	44	57	42
smooth_muscle	130	81	179	94	129	117	109	89
