mouse_gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Mrpl15	10.350833832668854	0.16405513266007418	0.42180645976893455	0.3889346141117505	0.6973245157826709	
Lypla1	8.026570990482718	0.22938541429489837	0.48850115317634285	0.4695698521966295	0.6386623680009327	
Tcea1	23.222901040454246	-0.18802758781453824	0.2883774720428987	-0.652018989148249	0.5143889224935079	0.9999844448080388
Atp6v1h	10.040651140927881	-0.717699513945326	0.4593870141518326	-1.56229821879144	0.11821775144381061	
Rb1cc1	11.061597460495005	-1.0271398678255135	0.43067773766198386	-2.384938384327776	0.017081982109238544	
4732440D04Rik	1.3913754417450659	-2.917584599405917	1.6949730756307306	-1.7213161915980468	0.085193462903342	
Pcmtd1	9.102916547685126	-0.26107664565072874	0.463556340223118	-0.5632036993066859	0.5732961841634646	
Rrs1	7.005782204991947	0.21330302165019865	0.5324704893749173	0.4005912551146287	0.6887210850889567	
Vcpip1	2.705451213398467	0.07948095230471718	0.8554293791627571	0.09291351716550623	0.925972267057698	
Sgk3	1.1729574296010936	0.23882061692003942	1.2288936475459245	0.19433790499036213	0.8459113074722355	
Snhg6	7.173925972408374	-0.19313662128676265	0.554561902005333	-0.34826882371177625	0.7276383050655573	
Cops5	13.330561298797154	-0.029681559052130727	0.38210523990375206	-0.07767901602084068	0.9380833864499043	
Cspp1	10.1250843777867	-0.208442462161932	0.4521575286677168	-0.4609952261020803	0.6448020301398454	
Arfgef1	4.028790481508121	0.3089763561878889	0.6854565082470943	0.45075997159619746	0.6521625538167897	
Prex2	12.115370663519794	-0.14630718368936207	0.4155781086876454	-0.3520570035591762	0.7247955128544828	
Sulf1	5.580756948930631	1.1871469829213146	0.593632446693702	1.9998013746271013	0.045521716108602575	
Ncoa2	3.6144258529137003	-0.1854302430368369	0.7070034106794006	-0.262276306218447	0.7931084277021839	
Tram1	20.037329563535675	0.03736561385918485	0.3145110533306947	0.11880540751582594	0.9054295244524642	0.9999844448080388
Lactb2	4.158480621790197	-0.12035463436423553	0.6628645299211101	-0.18156746805951343	0.8559221811592559	
Msc	1.692203763068636	0.8587108996113776	1.0824899288086616	0.7932738002989416	0.42761831789121074	
Terf1	4.692736142799609	0.6272131914173777	0.6300694000143283	0.995466834928207	0.3195092667175503	
Rpl7	160.3953900040608	0.3203042195683123	0.1437047712779856	2.2289045570290003	0.025820255855671298	0.5576358990883277
Ube2w	12.756088328199848	0.5632287406369734	0.4012477700571281	1.4036931359314049	0.16041024732331166	
Tceb1	28.399615742058515	0.05900330856582367	0.2666173718859	0.22130331624105265	0.8248562680104486	0.9999844448080388
Tmem70	8.349881211822305	-0.4937366055717036	0.48875493435527867	-1.0101925747777796	0.31240303601627506	
Ly96	5.001482399582208	-0.04227979851465473	0.6160114258659521	-0.06863476347897332	0.9452803468468123	
Pi15	1.725253647904656	-0.21363648643312666	1.0337893756431409	-0.20665378409428822	0.8362802531454818	
Tram2	1.7201025794954523	0.5196718772542422	1.0742855259892599	0.48373720457203456	0.6285723856987188	
Tmem14a	3.6454363799671947	-0.8766180108355471	0.8225328487902888	-1.0657544098388316	0.2865346747088203	
Gsta3	2.780039322136894	-0.7164206254642959	0.8833507075032346	-0.81102626553528	0.41735058734594976	
Ogfrl1	2.8170266196038107	0.08342922313077696	0.8183798747784146	0.10194437290306821	0.9188008289258098	
Smap1	20.64471609150738	0.2482707512891364	0.30965778837570573	0.8017584592056543	0.4226926924223301	0.9999844448080388
