leiden	score_pericyte	score_smooth_muscle	score_fibroblast	score_endothelial	score_macrophage	score_cardiomyocyte	label	n_cells
0	-0.09172357845869511	-0.08460735580363334	0.1365916385873948	-0.17008638652152994	2.443648165363362	-0.04208852137786541	macrophage	1872
1	-0.07579741441590632	-0.06903627089705769	0.18087982744352568	-0.10288271808116645	2.3281610074279073	-0.03271379772038113	macrophage	2912
2	-0.04209444607517592	-0.09035579909479784	1.8861777884696076	-0.2662332532781459	0.03223044040996554	-0.07429420286856257	fibroblast	4383
3	-0.03324022483144836	0.20215613610710345	0.6813143139200759	0.05356273783374661	0.46521972042976306	3.0723212416024133	cardiomyocyte	489
4	-0.09616994960992266	-0.07566870443547359	1.6871239473509352	-0.3080916005852031	0.011134355024911398	-0.08728933007792125	fibroblast	2501
5	-0.07848596109289988	-0.07584403308697218	1.6650325366197678	-0.3135457207149783	-0.04025385908676583	-0.10220684126067303	fibroblast	2908
6	-0.04916097193606627	-0.08092074036312358	1.8484611470491026	-0.2771533198096189	0.11300599624625038	-0.06036832703031543	fibroblast	2252
7	-0.025965204225857665	-0.06554367892970617	1.9333334710421017	-0.23811897729069947	0.05745477197465108	-0.05438747952913867	fibroblast	2035
8	-0.06980656498763063	-0.015198991384399072	1.3228422243595204	-0.28172519272409574	0.10046716292848003	-0.07073514450839098	fibroblast	267
9	-0.07477710329915209	-0.08530177668383403	0.14225727117707498	1.8992559905610942	0.09478884293059642	-0.019803819244906325	endothelial	3149
10	-0.09290363268507032	-0.11361237034249287	0.3359598626721757	0.9042212912088482	0.0714712519744351	-0.06521790648503907	endothelial	1313
11	-0.06987552960436795	-0.0780375291118777	0.44980317755834526	-0.27950197604613575	0.1532418809285978	-0.0902837477458848	cardiomyocyte	246
12	0.018263108332382712	0.05023862079380156	1.4427722381367856	-0.2621269874361859	0.037836342046911386	-0.04678616161579671	fibroblast	1334
13	2.185553573542706	0.3036994484722473	0.3718605649383218	0.08332328104066736	0.09584840854575308	-0.08956241785842846	pericyte	421
14	0.11724105541119266	0.12401860214228166	0.1367967145754199	1.4589597366408882	0.06084537183687902	-0.07076031957852225	endothelial	729
15	0.018850783044245187	0.08222546035487477	0.6896401513420407	0.18604093670845032	0.34324984518493096	0.02680751820889915	endothelial	41
16	-0.06630929696940134	-0.047863041918232756	0.33644663020981336	0.011757635616656367	0.22604037846284342	-0.03690607233367376	cardiomyocyte	318
17	0.8689588596502531	2.532672959964851	0.2269148505269557	-0.10320203937525893	0.10072345642287328	0.03966710529375778	smooth_muscle	928
18	-0.10742410182201065	-0.12194016851603039	0.2049963248475629	0.7374276324255127	0.08001705548277609	-0.07146249905583404	endothelial	252
19	-0.06446806924739516	-0.04791079413310419	0.2066899074662843	-0.10111914830707878	0.1974228023604656	-0.04933262433191661	cardiomyocyte	267
20	-0.00732295288679735	0.04777693219994599	0.5181002711110696	0.09685899881821758	0.9973977082375461	-0.03305961521466573	macrophage	265
21	-0.08364915506785102	-0.06641066395887854	0.23625359548008668	-0.12630684159303968	0.8998565643003346	-0.06350341941180983	macrophage	342
22	-0.06075312062008443	-0.035753020759642595	0.6001714328202883	0.04878306242424672	0.315207473252389	-0.01832875832015761	endothelial	127
23	-0.05492669163135197	-0.09235097860746057	1.379466266893561	0.31817013552207	0.9085608863724803	-0.05659548094366289	fibroblast	263
