disease_group	emmean	SE	df	lower.CL	upper.CL	n_donors	min_cells	arm	n_studies	study_sd	singular	n_donors_group	small_groups	estimable	model
Healthy	0.105539509437741	0.188022445077599	22.1424188636881	-0.284249812491654	0.495328831367137	89	10	primary	18	0.607126984021267	FALSE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	COPD	TRUE	lmer(disease_group + sex + (1 | study))
COPD	-0.0418597280676355	0.515343690879579	81.7501356587514	-1.06708941055571	0.983369954420443	89	10	primary	18	0.607126984021267	FALSE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	COPD	TRUE	lmer(disease_group + sex + (1 | study))
Fibrotic_ILD	-0.0367153480937012	0.225781396478662	31.9868970135157	-0.496624391571649	0.423193695384247	89	10	primary	18	0.607126984021267	FALSE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	COPD	TRUE	lmer(disease_group + sex + (1 | study))
Other	0.0929943031253078	0.319393700204655	22.7019527242222	-0.56820222126961	0.754190827520225	89	10	primary	18	0.607126984021267	FALSE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	COPD	TRUE	lmer(disease_group + sex + (1 | study))
