contrast	estimate	SE	df	t.ratio	p.value	n_donors	min_cells	arm	n_studies	study_sd	singular	n_donors_group	small_groups	estimable	model	p_excl_small_groups
Healthy - COPD	0.147399237505377	0.516813593134083	73.7624308460986	0.2852077411732	0.99127350580483	89	10	primary	18	0.607126984021267	FALSE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	COPD	TRUE	lmer(disease_group + sex + (1 | study))	NA
Healthy - Fibrotic_ILD	0.142254857531443	0.218665290657408	81.894789719549	0.650559844700361	0.99127350580483	89	10	primary	18	0.607126984021267	FALSE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	COPD	TRUE	lmer(disease_group + sex + (1 | study))	0.972325453575037
Healthy - Other	0.0125452063124337	0.358768339415156	31.5475280590007	0.0349674286557286	0.99127350580483	89	10	primary	18	0.607126984021267	FALSE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	COPD	TRUE	lmer(disease_group + sex + (1 | study))	0.972325453575037
COPD - Fibrotic_ILD	-0.00514437997393427	0.468632430528591	68.1925033477534	-0.0109774305805761	0.99127350580483	89	10	primary	18	0.607126984021267	FALSE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	COPD	TRUE	lmer(disease_group + sex + (1 | study))	NA
COPD - Other	-0.134854031192943	0.599747792941883	78.2736124474675	-0.224851233768543	0.99127350580483	89	10	primary	18	0.607126984021267	FALSE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	COPD	TRUE	lmer(disease_group + sex + (1 | study))	NA
Fibrotic_ILD - Other	-0.129709651219009	0.379831671750516	30.2481601538177	-0.341492458017576	0.99127350580483	89	10	primary	18	0.607126984021267	FALSE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	COPD	TRUE	lmer(disease_group + sex + (1 | study))	0.972325453575037
