contrast	estimate	SE	df	t.ratio	p.value	n_donors	min_cells	arm	n_studies	study_sd	singular	n_donors_group	small_groups	estimable	model	p_excl_small_groups
Healthy - Fibrotic_ILD	-0.0121289049807228	0.347908331684606	35.9979481824453	-0.0348623584896443	0.972382097005257	47	10	_ageadj	13	0.482341979359118	FALSE	Healthy=38;Fibrotic_ILD=6;Other=3	none	TRUE	lmer(disease_group + sex + age + (1 | study))	NA
Healthy - Other	-0.367966715040242	0.574447227556201	9.36049961357377	-0.640557909219331	0.888863938192773	47	10	_ageadj	13	0.482341979359118	FALSE	Healthy=38;Fibrotic_ILD=6;Other=3	none	TRUE	lmer(disease_group + sex + age + (1 | study))	NA
Fibrotic_ILD - Other	-0.355837810059519	0.646930473673182	11.7707705628421	-0.550040266366061	0.888863938192773	47	10	_ageadj	13	0.482341979359118	FALSE	Healthy=38;Fibrotic_ILD=6;Other=3	none	TRUE	lmer(disease_group + sex + age + (1 | study))	NA
