disease_group	emmean	SE	df	lower.CL	upper.CL	n_donors	min_cells	arm	n_studies	study_sd	singular	n_donors_group	small_groups	estimable	model
Healthy	0.283904786993383	0.22225731398883	22.029564061271	-0.176992808391808	0.744802382378574	89	10	primary	18	0.675482984846718	FALSE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	COPD	TRUE	lmer(disease_group + sex + (1 | study))
COPD	-1.30867993780224	0.674412875408318	81.1039933968829	-2.65052393011377	0.0331640545092786	89	10	primary	18	0.675482984846718	FALSE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	COPD	TRUE	lmer(disease_group + sex + (1 | study))
Fibrotic_ILD	-0.561878661984776	0.273328987576277	32.0585103476734	-1.11859174147938	-0.00516558249017318	89	10	primary	18	0.675482984846718	FALSE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	COPD	TRUE	lmer(disease_group + sex + (1 | study))
Other	-0.158441265631983	0.374840585334451	19.7107426320928	-0.941081278239336	0.62419874697537	89	10	primary	18	0.675482984846718	FALSE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	COPD	TRUE	lmer(disease_group + sex + (1 | study))
