contrast	estimate	SE	df	t.ratio	p.value	n_donors	min_cells	arm	n_studies	study_sd	singular	n_donors_group	small_groups	estimable	model	p_excl_small_groups
Healthy - Fibrotic_ILD	-0.756231884091798	0.452073552393096	27.4905938723093	-1.67280717947026	0.176234723457217	36	20	_ageadj	12	0.569260446213557	FALSE	Healthy=29;Fibrotic_ILD=4;Other=3	none	TRUE	lmer(disease_group + sex + age + (1 | study))	NA
Healthy - Other	-1.16732727513162	0.665600410393923	8.01321442766132	-1.75379590652709	0.176234723457217	36	20	_ageadj	12	0.569260446213557	FALSE	Healthy=29;Fibrotic_ILD=4;Other=3	none	TRUE	lmer(disease_group + sex + age + (1 | study))	NA
Fibrotic_ILD - Other	-0.411095391039818	0.767415869661017	10.4401736176145	-0.535687893998605	0.603398527351461	36	20	_ageadj	12	0.569260446213557	FALSE	Healthy=29;Fibrotic_ILD=4;Other=3	none	TRUE	lmer(disease_group + sex + age + (1 | study))	NA
