contrast	estimate	SE	df	t.ratio	p.value	n_donors	min_cells	arm	n_studies	study_sd	singular	n_donors_group	small_groups	estimable	model	p_excl_small_groups
Healthy - COPD	1.59258472479563	0.684217965303617	75.334026443669	2.3275985220425	0.0678635963272086	89	10	primary	18	0.675482984846718	FALSE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	COPD	TRUE	lmer(disease_group + sex + (1 | study))	NA
Healthy - Fibrotic_ILD	0.845783448978159	0.281655324237644	78.2976903357235	3.0029023994751	0.0215319759656603	89	10	primary	18	0.675482984846718	FALSE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	COPD	TRUE	lmer(disease_group + sex + (1 | study))	0.0107659879469506
Healthy - Other	0.442346052625366	0.429160250942518	26.5093937935573	1.03072465740685	0.374379311196457	89	10	primary	18	0.675482984846718	FALSE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	COPD	TRUE	lmer(disease_group + sex + (1 | study))	0.381769279634092
COPD - Fibrotic_ILD	-0.746801275817469	0.624343907099772	69.0069510020856	-1.19613768521669	0.353604947454309	89	10	primary	18	0.675482984846718	FALSE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	COPD	TRUE	lmer(disease_group + sex + (1 | study))	NA
COPD - Other	-1.15023867217026	0.765758525350377	78.5618855857551	-1.50209058612043	0.274165392311015	89	10	primary	18	0.675482984846718	FALSE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	COPD	TRUE	lmer(disease_group + sex + (1 | study))	NA
Fibrotic_ILD - Other	-0.403437396352792	0.453270856360625	25.4569324430129	-0.890058098135952	0.381769278876122	89	10	primary	18	0.675482984846718	FALSE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	COPD	TRUE	lmer(disease_group + sex + (1 | study))	0.381769279634092
