Sum Sq	Df	F value	Pr(>F)
disease_group	2.6927405447774	2	4.82242319995551	0.0150148573747609
age	0.33158909208834	1	1.18768437132972	0.284196454581237
sex	0.0464377507604787	1	0.166330534187873	0.686196855024851
Residuals	8.65487675250791	31	NA	NA
