donor_id,AGTR1_detect,n_cells
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747284C,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747284C,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747290B,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747290B,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747292B,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747292B,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747296C,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747296C,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747298C,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747298C,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747302C,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747302C,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747356C,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747356C,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C,0,14
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C,1,2
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D326,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D326,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_01,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_01,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_02,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_02,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_03,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_03,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_04,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_04,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_05,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_05,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_06,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_06,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_07,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_07,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_08,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_08,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-02,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-02,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-03,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-03,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-04,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-04,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-06,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-06,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-07,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-07,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-08,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-08,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-09,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-09,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-10,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-10,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-11,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-11,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI01,0,509
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI01,1,322
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI02,0,64
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI02,1,29
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T120,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T120,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T121,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T121,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T153,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T153,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T164,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T164,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T167,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T167,1,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T85,0,0
