dataset	Healthy	COPD	Fibrotic_ILD	Other
Banovich_Kropski_2020	8	0	7	0
Budinger_2020	0	0	0	3
Duong_lungMAP_unpubl	1	0	0	0
Eils_2020	3	0	0	0
Kaminski_2020	0	1	6	0
Krasnow_2020	3	0	0	0
Lafyatis_2019	0	0	4	0
Meyer_2019	1	0	0	0
Meyer_2021_3prime	1	0	0	0
Meyer_2021_5prime	4	0	0	0
Misharin_2021	2	0	0	0
Peer_Massague_2020	1	0	0	1
Regev_2021_Cryo	0	0	0	2
Regev_2021_Nuclei	0	0	0	12
Schiller_2020	3	0	2	0
Schiller_2021	2	0	0	0
Sheppard_2020	3	0	5	0
Sun_2020_batch1	1	0	0	0
Sun_2020_batch2	2	0	0	0
Sun_2020_batch3	3	0	0	0
Sun_2020_batch4	3	0	0	0
Tata_unpubl	1	0	0	0
Thienpont_2018_10Xv2	0	0	0	4
