contrast	estimate	se	df	t.ratio	p.value	response	n	ci_lo	ci_hi	covars	model
Fibrotic_ILD - Healthy	0.751036320424821	0.216894433762394	76.9623967849426	3.46268139480045	0.000876499650383274	injury_program_score	83	0.325923230250529	1.17614941059911	sex	LMM (1|dataset)
Other - Healthy	0.251460493103245	0.485052856746353	20.6194355849701	0.518418744691035	0.609685009785381	injury_program_score	83	-0.699243106119607	1.2021640923261	sex	LMM (1|dataset)
