min_cells	n_studies	n_donors_forest	n_donors_primary	estimate	se	ci_lo	ci_hi	I2	p_pooled	studies	new_vs_primary
10	3	28	66	0.901858299139559	0.220969344175219	0.468758384556131	1.33495821372299	24.9567104159091	4.4770452893391e-05	Banovich_Kropski_2020|Schiller_2020|Sheppard_2020	""
5	3	31	79	0.715222261175885	0.265664318525377	0.194520196866146	1.23592432548562	47.3685970591157	0.00709817370079867	Banovich_Kropski_2020|Schiller_2020|Sheppard_2020	""
3	4	54	96	0.425224119805046	0.29347116013244	-0.149979354054535	1.00042759366463	73.0653996111977	0.147352419679491	Banovich_Kropski_2020|Kaminski_2020|Schiller_2020|Sheppard_2020	Kaminski_2020
2	4	62	108	0.493398514403771	0.24450639194662	0.0141659861883971	0.972631042619146	63.826228001873	0.0435978147479559	Banovich_Kropski_2020|Kaminski_2020|Schiller_2020|Sheppard_2020	Kaminski_2020
