contrast	estimate	se	df	t.ratio	p.value	response	n	ci_lo	ci_hi	covars	model
Fibrotic_ILD - Healthy	0.546184570042898	0.261479796302115	82.8070930798619	2.08882130767699	0.0397945529494636	z_inflammatory	88	0.0336841692907517	1.05868497079504	sex	LMM (1|dataset)
Other - Healthy	0.0405873055546178	0.418001615600448	41.7306593609937	0.09709844182376	0.923113071049785	z_inflammatory	88	-0.77869586102226	0.859870472131495	sex	LMM (1|dataset)
Fibrotic_ILD - Healthy	0.872758792031777	0.30663409751831	82.2880224455328	2.84625486563725	0.00558258557892128	z_activated_migratory	88	0.271755960895888	1.47376162316767	sex	LMM (1|dataset)
Other - Healthy	0.652541531613907	0.451178102079066	34.7823705246887	1.44630585705942	0.157043282391379	z_activated_migratory	88	-0.231767548461063	1.53685061168888	sex	LMM (1|dataset)
Fibrotic_ILD - Healthy	1.13281911041405	0.309133794672576	79.8179691040194	3.66449456493069	0.000444539738550926	z_fibroblast_like	88	0.526916872855805	1.7387213479723	sex	LMM (1|dataset)
Other - Healthy	1.09618485163334	0.430336036272358	30.920835836693	2.54727645197616	0.0160512223467345	z_fibroblast_like	88	0.252726220539515	1.93964348272716	sex	LMM (1|dataset)
Fibrotic_ILD - Healthy	0.154241487561833	0.209187608780062	75.8370665466519	0.73733567901721	0.463193462533373	z_vascular_stabilizing	88	-0.255766225647088	0.564249200770755	sex	LMM (1|dataset)
Other - Healthy	-0.0212666126658572	0.404520321815197	65.6704273739006	-0.0525724210107118	0.958232187443139	z_vascular_stabilizing	88	-0.814126443423642	0.771593218091928	sex	LMM (1|dataset)
