response	n	n_healthy	n_fibrotic	beta_fib_minus_healthy	se	df	t	p	contrast_estimate	contrast_p	covars	model	min_cells
min_cells_5	66	42	24	0.727854809057206	0.237843123072306	61.1380306509348	3.0602306245194	0.00328252198775528	-0.727854809057206	0.00416783677512454	sex	LMM (1|dataset)	5
min_cells_10	66	42	24	0.727854809057206	0.237843123072306	61.1380306509348	3.0602306245194	0.00328252198775528	-0.727854809057206	0.00416783677512454	sex	LMM (1|dataset)	10
min_cells_15	55	36	19	0.861585554853122	0.253577466367169	43.2193022260875	3.39772128492515	0.00146948118809287	-0.861585554853122	0.00180600090227189	sex	LMM (1|dataset)	15
min_cells_20	49	32	17	0.844993042891242	0.259831008560331	38.5294534114972	3.25208699136093	0.00238441594340887	-0.844993042891242	0.00302052945909165	sex	LMM (1|dataset)	20
min_cells_30	43	28	15	0.928958742040981	0.257666117103504	32.8394005457848	3.60528094451712	0.00102038220416748	-0.928958742040981	0.0013863608721353	sex	LMM (1|dataset)	30
