depth_bin	n_cells	depth_median	depth_min	depth_max	n_detected	obs_rate	obs_lo	obs_hi	matched_rate	matched_lo	matched_hi
1	1168	711.5	247.0	948.0	145	0.12414383561643835	0.10645618887783106	0.14429569965990094	0.13313356041908264	0.07521404325962067	0.21327058970928192
2	1168	1130.0	948.0	1271.0	253	0.2166095890410959	0.19393498111233157	0.24114218313821353	0.21147260069847107	0.12320205569267273	0.28086474537849426
3	1168	1413.5	1271.0	1554.0	282	0.24143835616438356	0.21776869748466013	0.26680321672580704	0.25898972153663635	0.1335616409778595	0.33324065804481506
4	1168	1696.0	1554.0	1842.0	397	0.3398972602739726	0.3132967977982831	0.3675474007360128	0.3022260367870331	0.1446489691734314	0.391416996717453
5	1168	1980.0	1842.0	2122.0	459	0.3929794520547945	0.36536401596887885	0.42129654454869864	0.34032535552978516	0.1564212292432785	0.4298587441444397
6	1168	2263.5	2123.0	2433.0	471	0.4032534246575342	0.37548228010615176	0.4316588666017383	0.3728595972061157	0.17891696095466614	0.462414413690567
7	1168	2614.0	2433.0	2841.0	491	0.4203767123287671	0.3923743273143222	0.44890112971075546	0.412243127822876	0.20284675061702728	0.5008989572525024
8	1168	3091.5	2841.0	3423.0	552	0.4726027397260274	0.4441079029389675	0.5012772005535323	0.4499143958091736	0.2420162707567215	0.5428510308265686
9	1168	3912.0	3423.0	4617.0	597	0.5111301369863014	0.4824732050126105	0.5397140966935615	0.4931506812572479	0.31660959124565125	0.6181721091270447
10	1168	6117.5	4619.0	58829.0	719	0.615582191780822	0.5873485886814676	0.6430580059595488	0.6142979264259338	0.39098885655403137	0.7586473226547241
