gene	total_counts	pooled_cp10k	n_detected	frac_detected	frac_undetected	abundance_dist	target_gene
HIPK2	8053.0	2.630761	3267	0.27970890410958904	0.720291095890411	0.0	AGTR1
NDRG2	8072.0	2.6369677	4893	0.41892123287671235	0.5810787671232877	0.0010234118	AGTR1
EIF4A1	8079.0	2.6392546	4187	0.35847602739726026	0.6415239726027397	0.0013999045	AGTR1
HINT1	8083.0	2.6405613	4575	0.3916952054794521	0.608304794520548	0.0016148686	AGTR1
COX7A1	8017.0	2.6190004	4479	0.3834760273972603	0.6165239726027397	0.0019457936	AGTR1
MSRB3	8014.0	2.6180203	3548	0.30376712328767125	0.6962328767123287	0.0021083653	AGTR1
EFEMP1	8093.0	2.6438282	3880	0.3321917808219178	0.6678082191780822	0.002151847	AGTR1
HIVEP3	8097.0	2.645135	2058	0.1761986301369863	0.8238013698630137	0.0023664534	AGTR1
ATF3	8006.0	2.615407	3217	0.27542808219178083	0.7245719178082192	0.0025420785	AGTR1
NCK2	7990.0	2.61018	4189	0.3586472602739726	0.6413527397260275	0.0034109354	AGTR1
BNIP3L	7985.0	2.6085467	4709	0.4031678082191781	0.5968321917808219	0.0036827624	AGTR1
SOD1	7981.0	2.60724	4569	0.3911815068493151	0.6088184931506849	0.0039003491	AGTR1
P4HB	8126.0	2.6546087	4429	0.37919520547945207	0.6208047945205479	0.0039191246	AGTR1
TLN1	7980.0	2.606913	4518	0.38681506849315067	0.6131849315068494	0.003954828	AGTR1
COX6B1	8127.0	2.6549351	4507	0.38587328767123286	0.6141267123287671	0.0039725304	AGTR1
LAMP1	7976.0	2.6056066	4749	0.40659246575342467	0.5934075342465753	0.0041725338	AGTR1
SRSF11	7976.0	2.6056066	5100	0.4366438356164384	0.5633561643835616	0.0041725338	AGTR1
UBL5	7975.0	2.6052797	4509	0.3860445205479452	0.6139554794520548	0.0042270124	AGTR1
KTN1	7950.0	2.5971127	4878	0.41763698630136986	0.5823630136986302	0.005590588	AGTR1
STXBP4	7943.0	2.594826	2909	0.24905821917808219	0.7509417808219179	0.0059731305	AGTR1
GNAS	7942.0	2.5944993	4405	0.3771404109589041	0.622859589041096	0.0060278177	AGTR1
TNS2	7939.0	2.5935192	4938	0.42277397260273974	0.5772260273972603	0.0061919093	AGTR1
ATP6V1G1	8172.0	2.6696358	4739	0.405736301369863	0.5942636986301371	0.0063706636	AGTR1
LIMS1	8174.0	2.6702893	4518	0.38681506849315067	0.6131849315068494	0.0064769387	AGTR1
ATP5F1B	7926.0	2.5892723	4330	0.3707191780821918	0.6292808219178082	0.0069036484	AGTR1
FOXO3	7918.0	2.5866587	3976	0.3404109589041096	0.6595890410958904	0.007342249	AGTR1
ZEB1	7906.0	2.5827389	3100	0.2654109589041096	0.7345890410958904	0.0080008805	AGTR1
WSB1	7904.0	2.5820854	4816	0.4123287671232877	0.5876712328767123	0.008110762	AGTR1
KLF9	8207.0	2.6810696	4591	0.3930650684931507	0.6069349315068493	0.0082267225	AGTR1
CCN1	8211.0	2.6823764	3043	0.26053082191780824	0.7394691780821918	0.008438349	AGTR1
UBA2	8215.0	2.6836832	4845	0.4148116438356164	0.5851883561643836	0.008649856	AGTR1
