label	term	spec	formula	estimate	se	ci_lower	ci_upper	pval	n_cells	n_donors	fallback_ols	airspace_sd
binary detectability, unadjusted	AGTR1_detect	per-cell LMM (1|donor)	airspace_z ~ AGTR1_detect	-0.1364384339128285	0.02500003187982407	-0.18543759600963686	-0.08743927181602015	4.8280251837543727e-08	7157	56	False	0.03158092560311215
binary detectability, depth-adjusted	AGTR1_detect	per-cell LMM (1|donor)	airspace_z ~ AGTR1_detect + n_counts + n_genes	-0.1165820240720874	0.025812578553311816	-0.16717374838468957	-0.06599029975948523	6.2875715900169206e-06	7157	56	False	0.03158092560311215
binary detectability, fully adjusted	AGTR1_detect	per-cell LMM (1|donor)	airspace_z ~ AGTR1_detect + age + C(sex) + n_counts + n_genes + pct_mito	-0.11358113715384507	0.02583635918027946	-0.1642194706388336	-0.06294280366885655	1.1017549593459984e-05	7157	56	False	0.03158092560311215
scVI-denoised AGTR1 (per SD)	AGTR1_scvi_z	per-cell LMM (1|donor)	airspace_z ~ AGTR1_scvi_z + age + C(sex) + n_counts + n_genes + pct_mito	-0.3369092721011559	0.01895241726602382	-0.37405532736253766	-0.29976321683977414	1.0731962615410086e-70	7157	56	False	0.03158092560311215
donor fraction AGTR1-detectable	frac_AGTR1_pos	donor-level OLS	airspace_z ~ frac_AGTR1_pos + age + C(sex)	-0.06408991533346596	0.24438127207790408	-0.5547057909262048	0.4265259602592728	0.7941822054643178	7157	56	False	0.03158092560311215
