leiden_scvi	vascular_stabilizing_score	inflammatory_score	synthetic_contractile_score	activated_migratory_score	fibroblast_like_score	basement_membrane_score	assigned
0	0.026900959497798162	1.01224151422469	0.8417485011584533	1.3290951309609929	2.227823754871443	1.0089133120630116	fibroblast_like
1	-0.4819986722055917	0.38306087817539225	-0.12786742456912367	-0.14062439751755212	0.08765758375589801	0.9949362022262944	basement_membrane
10	-0.16319901292540606	0.9404720693600462	0.311043539009258	0.24559084082290591	0.08003073351009325	0.8472047362087755	inflammatory
11	-0.3780706977355204	0.3718058888208335	0.2551964637121821	0.06101235727754383	0.40275279090015714	1.3117056691115314	basement_membrane
12	0.8750438968367034	0.7978626641953099	2.4525559940256336	1.607799242005138	2.6530916519947074	1.122881099948415	fibroblast_like
13	1.2886634139275714	0.7516991710484272	4.118125738483375	1.1863833649600668	1.7995141267516228	1.1826908303537398	synthetic_contractile
14	-0.4211420357825028	0.5369778492067474	-0.1060389815618128	-0.2164475914810606	0.5714784009835643	1.306944990114355	basement_membrane
15	2.583896441369539	0.5888836190727571	2.1933527918991373	0.9249312939386605	1.9085083694954903	1.60799813949002	vascular_stabilizing
16	-0.2528915671665363	1.0131519014371395	0.453747113267372	-0.024393506599263436	0.3011796000562442	1.0792689185141482	basement_membrane
17	-0.5372596830330922	0.6466241445156365	0.1957836100961785	0.00529809163475441	0.4878065816618966	1.5655253594608638	basement_membrane
18	0.7636302574370442	0.9874466200800003	1.577723754935471	1.4897924441187576	2.8460982289766363	1.1283583390540792	fibroblast_like
19	-0.33841782164018147	0.7390701969990852	-0.0484594000973391	-0.19403589440586175	0.34117802890350724	0.7058563269063783	inflammatory
2	-0.4934313028481902	0.48411104040189185	-0.1794853471636936	-0.06140796272525646	-0.07415228911868975	0.9840664776159566	basement_membrane
20	0.4148551661140997	0.558200689176747	2.675002492251209	1.2503096619232257	2.5092891678972538	1.1082871587059684	synthetic_contractile
21	-0.3801158660666555	0.7508277310563883	0.11439894420546236	-0.0074163479312034635	1.0023655445450863	0.9542016806440953	fibroblast_like
22	-0.5944600145059356	1.00241382123701	-0.6008548444568527	-0.1006420252968552	0.8092790760505217	0.35596452606064377	inflammatory
23	-0.11751489267762814	1.1626461253984932	0.9678749419832237	0.4034626948932938	0.996886660402502	0.7704365509136627	inflammatory
3	-0.5260785563933433	0.6131856069208474	0.19751748483336729	-0.02233881728875026	0.13192484639597482	1.3793401600460524	basement_membrane
4	-0.5125375923944427	0.5608485122157573	0.08902547062587039	-0.01179815369345542	0.15464330995562225	1.0940050616164443	basement_membrane
5	-0.26635910714056493	0.6303904309756849	0.04009492208107067	-0.11725971422350523	0.137052747032013	0.09640702922285802	inflammatory
6	0.5248862479646467	1.110330498605971	0.6236109117958748	1.3990954643385365	3.0062254622060305	1.0198646538235152	fibroblast_like
7	-0.4593117933804082	0.5738741030593499	-0.19060463020432242	-0.042396793395673475	-0.01848226486743204	0.7435649976893965	basement_membrane
8	-0.2994172381193141	0.7835710134338711	0.10273406479866745	0.18659434025366622	0.4611280102696111	0.8241807934228915	basement_membrane
9	-0.29491878700543384	1.00521293597591	0.15141311990680503	0.3832604259334474	0.2703678792315979	0.8054062595624598	inflammatory
