Sum Sq	Df	F value	Pr(>F)
leiden_pericytes	7.05866645439853	3	7.26357654512138	0.000235914811872628
sex	1.06227427639578	1	3.27933494309229	0.074057741655182
disease	2.06826162554207	4	1.59622678690611	0.183824564835829
ethnicity	3.73175440132868	3	3.84008564744602	0.0128323850657326
age	9.62726415068005e-05	1	0.000297202186264202	0.986290100763098
Residuals	24.9425937581554	77	NA	NA
