Sum Sq	Df	F value	Pr(>F)
leiden_pericytes	8.20595351131881	3	3.46777173587458	0.0201561991711434
sex	1.88517592501213	1	2.38998177879915	0.126215381010963
disease	4.87327624246902	4	1.54455630215	0.197729182042933
ethnicity	2.71404639146105	3	1.14693476549423	0.335607752541349
age	0.00539100161068973	1	0.00683458527561156	0.934327242284221
Residuals	60.7362564491472	77	NA	NA
