cell_type	n_donors	mean_expr	frac_expr
Pericytes	41	0.0935363184196517	0.0455588789600498
Adventitial fibroblasts	61	0.019099741008903	0.0151571819103195
Mesothelium	11	0.0189223138220382	0.0151515151515152
Vascular smooth muscle	71	0.00715009718077088	0.00575038572538712
Alveolar fibroblasts	70	0.00638576224004986	0.00603308213012833
