cell_type	response	contrast	estimate	se	ci_lo	ci_hi	df	t.ratio	p.value	p_BH	n_donors	n_healthy	n_fibrotic	n_other	covars	model
Alveolar fibroblasts	z_AGTR1	Fibrotic_ILD - Healthy	-0.757194572187532	0.461465794049796	-1.66166752852513	0.147278384150068	36.1778189988841	-1.64084658484097	0.109496238584258	0.34652848107836	70	62	6	2	sex	LMM (1|dataset)
Peribronchial fibroblasts	z_AGTR1	Fibrotic_ILD - Healthy	-0.860659339124586	0.561158368533014	-1.96052974144929	0.23921106320012	23.2217001335099	-1.53371915556482	0.138611392431344	0.34652848107836	53	38	6	9	sex	LMM (1|dataset)
Adventitial fibroblasts	z_AGTR1	Fibrotic_ILD - Healthy	0.18264388967293	0.512485444177694	-0.82182758091535	1.18711536026121	28.9117014070449	0.35638844331665	0.724137434346648	0.935002627414241	61	50	6	5	sex	LMM (1|dataset)
Vascular smooth muscle	z_AGTR1	Fibrotic_ILD - Healthy	-0.107546960261302	0.520555741749294	-1.12783621408992	0.912742293567314	49.8527158912614	-0.206600276657977	0.837163546472415	0.935002627414241	71	56	9	6	sex	LMM (1|dataset)
Pericytes	z_AGTR1	Fibrotic_ILD - Healthy	-0.0416912934845506	0.507749612783487	-1.03688053454018	0.953497947571083	36.9369765891845	-0.0821099463887301	0.935002627414241	0.935002627414241	41	32	6	3	sex	LMM (1|dataset)
Adventitial fibroblasts	z_AGTR1	Other - Healthy	-0.674122819719493	0.53663806007153	-1.72593341745969	0.377687778020706	18.0493017470369	-1.25619643830264	0.225061718202742	0.674112486977494	61	50	6	5	sex	LMM (1|dataset)
Vascular smooth muscle	z_AGTR1	Other - Healthy	-0.514317953123538	0.629901311474686	-1.74892452361392	0.720288617366847	15.1570059289757	-0.81650560771091	0.426858267767683	0.674112486977494	71	56	9	6	sex	LMM (1|dataset)
Pericytes	z_AGTR1	Other - Healthy	-0.680272484447683	0.88903834275812	-2.4227876362536	1.06224266735823	10.6509564226114	-0.765177891357566	0.460784515328157	0.674112486977494	41	32	6	3	sex	LMM (1|dataset)
Peribronchial fibroblasts	z_AGTR1	Other - Healthy	-0.362753050369159	0.571615167499164	-1.48311877866752	0.757612677929202	10.4790260098502	-0.634610610415073	0.539289989581996	0.674112486977494	53	38	6	9	sex	LMM (1|dataset)
Alveolar fibroblasts	z_AGTR1	Other - Healthy	-0.283258900084089	0.744827519119641	-1.74312083755859	1.17660303739041	41.861317560654	-0.380301335292889	0.70564465603864	0.70564465603864	70	62	6	2	sex	LMM (1|dataset)
