cell_type	response	contrast	estimate	se	ci_lo	ci_hi	df	t.ratio	p.value	p_BH	n_donors	n_healthy	n_fibrotic	n_other	covars	model	F	df1	df2	p_omnibus	p_omnibus_BH	partial_eta_sq	rank_by_omnibus	lineage
Peribronchial fibroblasts	z_AGTR1	Fibrotic_ILD - Healthy	-0.860659339124586	0.561158368533014	-1.96052974144929	0.23921106320012	23.2217001335099	-1.53371915556482	0.138611392431344	0.34652848107836	53	38	6	9	sex	LMM (1|dataset)	1.269	2	10.48	0.321030556704137	0.705419128990448	0.194960823475188	1	Fibroblast
Adventitial fibroblasts	z_AGTR1	Fibrotic_ILD - Healthy	0.18264388967293	0.512485444177694	-0.82182758091535	1.18711536026121	28.9117014070449	0.35638844331665	0.724137434346648	0.935002627414241	61	50	6	5	sex	LMM (1|dataset)	0.902	2	18.05	0.423251477394268	0.705419128990448	0.0908633021053692	2	Fibroblast
Alveolar fibroblasts	z_AGTR1	Fibrotic_ILD - Healthy	-0.757194572187532	0.461465794049796	-1.66166752852513	0.147278384150068	36.1778189988841	-1.64084658484097	0.109496238584258	0.34652848107836	70	62	6	2	sex	LMM (1|dataset)	1.391	2	36.18	0.261847379594804	0.705419128990448	0.0714029053950003	3	Fibroblast
Pericytes	z_AGTR1	Fibrotic_ILD - Healthy	-0.0416912934845506	0.507749612783487	-1.03688053454018	0.953497947571083	36.9369765891845	-0.0821099463887301	0.935002627414241	0.935002627414241	41	32	6	3	sex	LMM (1|dataset)	0.293	2	10.65	0.751629401257087	0.751629401257087	0.0521537913848345	4	Mural
Vascular smooth muscle	z_AGTR1	Fibrotic_ILD - Healthy	-0.107546960261302	0.520555741749294	-1.12783621408992	0.912742293567314	49.8527158912614	-0.206600276657977	0.837163546472415	0.935002627414241	71	56	9	6	sex	LMM (1|dataset)	0.343	2	15.16	0.715191573509672	0.751629401257087	0.0432916824435189	5	Mural
