cell_type	Healthy	Fibrotic_ILD	Other
Adventitial fibroblasts	66	43	18
Alveolar fibroblasts	72	30	18
Mesothelium	8	15	2
Myofibroblasts	19	10	5
Peribronchial fibroblasts	42	32	19
Pericytes	35	24	18
Subpleural fibroblasts	5	0	2
Vascular smooth muscle	61	35	19
